product_key,product_id,category,sub_category,product_name
53,FUR-CH-10000229,Apparels,Formal Wear,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs
54,FUR-CH-10000309,Apparels,Formal Wear,Global Comet Stacking Arm Chair
55,FUR-CH-10000422,Apparels,Formal Wear,Global Highback Leather Tilter in Burgundy
56,FUR-CH-10000454,Apparels,Formal Wear,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
57,FUR-CH-10000513,Apparels,Formal Wear,High-Back Leather Manager's Chair
58,FUR-CH-10000553,Apparels,Formal Wear,"Metal Folding Chairs, Beige, 4/Carton"
59,FUR-CH-10000595,Apparels,Formal Wear,Safco Contoured Stacking Chairs
60,FUR-CH-10000665,Apparels,Formal Wear,"Global Airflow Leather Mesh Back Chair, Black"
61,FUR-CH-10000749,Apparels,Formal Wear,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms
62,FUR-CH-10000785,Apparels,Formal Wear,Global Ergonomic Managers Chair
63,FUR-CH-10000847,Apparels,Formal Wear,Global Executive Mid-Back Manager's Chair
64,FUR-CH-10000863,Apparels,Formal Wear,Novimex Swivel Fabric Task Chair
65,FUR-CH-10000988,Apparels,Formal Wear,Hon Olson Stacker Stools
66,FUR-CH-10001146,Apparels,Formal Wear,"Global Value Mid-Back Manager's Chair, Gray"
67,FUR-CH-10001190,Apparels,Formal Wear,Global Deluxe High-Back Office Chair in Storm
68,FUR-CH-10001215,Apparels,Formal Wear,Global Troy Executive Leather Low-Back Tilter
69,FUR-CH-10001270,Apparels,Formal Wear,Harbour Creations Steel Folding Chair
70,FUR-CH-10001394,Apparels,Formal Wear,Global Leather Executive Chair
71,FUR-CH-10001482,Apparels,Formal Wear,Office Star - Mesh Screen back chair with Vinyl seat
72,FUR-CH-10001545,Apparels,Formal Wear,Hon Comfortask Task/Swivel Chairs
73,FUR-CH-10001708,Apparels,Formal Wear,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back
74,FUR-CH-10001714,Apparels,Formal Wear,"Global Leather & Oak Executive Chair, Burgundy"
75,FUR-CH-10001797,Apparels,Formal Wear,"Safco Chair Connectors, 6/Carton"
76,FUR-CH-10001802,Apparels,Formal Wear,Hon Every-Day Chair Series Swivel Task Chairs
77,FUR-CH-10001854,Apparels,Formal Wear,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat
78,FUR-CH-10001891,Apparels,Formal Wear,Global Deluxe Office Fabric Chairs
79,FUR-CH-10001973,Apparels,Formal Wear,Office Star Flex Back Scooter Chair with White Frame
80,FUR-CH-10002017,Apparels,Formal Wear,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair
81,FUR-CH-10002024,Apparels,Formal Wear,HON 5400 Series Task Chairs for Big and Tall
82,FUR-CH-10002044,Apparels,Formal Wear,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum"
83,FUR-CH-10002073,Apparels,Formal Wear,Hon Olson Stacker Chairs
84,FUR-CH-10002084,Apparels,Formal Wear,Hon Mobius Operator's Chair
85,FUR-CH-10002126,Apparels,Formal Wear,Hon Deluxe Fabric Upholstered Stacking Chairs
86,FUR-CH-10002304,Apparels,Formal Wear,"Global Stack Chair without Arms, Black"
87,FUR-CH-10002317,Apparels,Formal Wear,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs
88,FUR-CH-10002320,Apparels,Formal Wear,Hon Pagoda Stacking Chairs
89,FUR-CH-10002331,Apparels,Formal Wear,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms
90,FUR-CH-10002335,Apparels,Formal Wear,Hon GuestStacker Chair
91,FUR-CH-10002372,Apparels,Formal Wear,Office Star - Ergonomically Designed Knee Chair
92,FUR-CH-10002439,Apparels,Formal Wear,"Iceberg Nesting Folding Chair, 19w x 6d x 43h"
93,FUR-CH-10002602,Apparels,Formal Wear,DMI Arturo Collection Mission-style Design Wood Chair
94,FUR-CH-10002647,Apparels,Formal Wear,"Situations Contoured Folding Chairs, 4/Set"
95,FUR-CH-10002758,Apparels,Formal Wear,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back"
96,FUR-CH-10002774,Apparels,Formal Wear,"Global Deluxe Stacking Chair, Gray"
97,FUR-CH-10002780,Apparels,Formal Wear,Office Star - Task Chair with Contemporary Loop Arms
98,FUR-CH-10002880,Apparels,Formal Wear,"Global High-Back Leather Tilter, Burgundy"
99,FUR-CH-10002961,Apparels,Formal Wear,"Leather Task Chair, Black"
100,FUR-CH-10002965,Apparels,Formal Wear,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
101,FUR-CH-10003061,Apparels,Formal Wear,"Global Leather Task Chair, Black"
102,FUR-CH-10003199,Apparels,Formal Wear,Office Star - Contemporary Task Swivel Chair
103,FUR-CH-10003298,Apparels,Formal Wear,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal"
104,FUR-CH-10003312,Apparels,Formal Wear,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs
105,FUR-CH-10003379,Apparels,Formal Wear,Global Commerce Series High-Back Swivel/Tilt Chairs
106,FUR-CH-10003396,Apparels,Formal Wear,Global Deluxe Steno Chair
107,FUR-CH-10003535,Apparels,Formal Wear,"Global Armless Task Chair, Royal Blue"
108,FUR-CH-10003606,Apparels,Formal Wear,SAFCO Folding Chair Trolley
109,FUR-CH-10003746,Apparels,Formal Wear,Hon 4070 Series Pagoda Round Back Stacking Chairs
110,FUR-CH-10003761,Apparels,Formal Wear,Global Italian Leather Office Chair
111,FUR-CH-10003774,Apparels,Formal Wear,"Global Wood Trimmed Manager's Task Chair, Khaki"
112,FUR-CH-10003817,Apparels,Formal Wear,"Global Value Steno Chair, Gray"
113,FUR-CH-10003833,Apparels,Formal Wear,Novimex Fabric Task Chair
114,FUR-CH-10003846,Apparels,Formal Wear,Hon Valutask Swivel Chairs
115,FUR-CH-10003956,Apparels,Formal Wear,Novimex High-Tech Fabric Mesh Task Chair
116,FUR-CH-10003968,Apparels,Formal Wear,Novimex Turbo Task Chair
117,FUR-CH-10003973,Apparels,Formal Wear,GuestStacker Chair with Chrome Finish Legs
118,FUR-CH-10003981,Apparels,Formal Wear,Global Commerce Series Low-Back Swivel/Tilt Chairs
119,FUR-CH-10004063,Apparels,Formal Wear,Global Deluxe High-Back Manager's Chair
120,FUR-CH-10004086,Apparels,Formal Wear,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
121,FUR-CH-10004218,Apparels,Formal Wear,"Global Fabric Manager's Chair, Dark Gray"
122,FUR-CH-10004287,Apparels,Formal Wear,SAFCO Arco Folding Chair
123,FUR-CH-10004289,Apparels,Formal Wear,Global Super Steno Chair
124,FUR-CH-10004477,Apparels,Formal Wear,"Global Push Button Manager's Chair, Indigo"
125,FUR-CH-10004495,Apparels,Formal Wear,"Global Leather and Oak Executive Chair, Black"
126,FUR-CH-10004540,Apparels,Formal Wear,Global Chrome Stack Chair
127,FUR-CH-10004626,Apparels,Formal Wear,Office Star Flex Back Scooter Chair with Aluminum Finish Frame
128,FUR-CH-10004675,Apparels,Formal Wear,"Lifetime Advantage Folding Chairs, 4/Carton"
129,FUR-CH-10004698,Apparels,Formal Wear,"Padded Folding Chairs, Black, 4/Carton"
130,FUR-CH-10004754,Apparels,Formal Wear,"Global Stack Chair with Arms, Black"
131,FUR-CH-10004853,Apparels,Formal Wear,"Global Manager's Adjustable Task Chair, Storm"
132,FUR-CH-10004860,Apparels,Formal Wear,Global Low Back Tilter Chair
133,FUR-CH-10004875,Apparels,Formal Wear,Harbour Creations 67200 Series Stacking Chairs
134,FUR-CH-10004886,Apparels,Formal Wear,Bevis Steel Folding Chairs
135,FUR-CH-10004983,Apparels,Formal Wear,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms
136,FUR-CH-10004997,Apparels,Formal Wear,Hon Every-Day Series Multi-Task Chairs
137,FUR-FU-10000010,Apparels,Casual Wear,"DAX Value U-Channel Document Frames, Easel Back"
138,FUR-FU-10000023,Apparels,Casual Wear,Eldon Wave Desk Accessories
139,FUR-FU-10000073,Apparels,Casual Wear,Deflect-O Glasstique Clear Desk Accessories
140,FUR-FU-10000076,Apparels,Casual Wear,24-Hour Round Wall Clock
141,FUR-FU-10000087,Apparels,Casual Wear,"Executive Impressions 14"" Two-Color Numerals Wall Clock"
142,FUR-FU-10000175,Apparels,Casual Wear,DAX Wood Document Frame.
143,FUR-FU-10000193,Apparels,Casual Wear,Tenex Chairmats For Use with Hard Floors
144,FUR-FU-10000206,Apparels,Casual Wear,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs"
145,FUR-FU-10000221,Apparels,Casual Wear,"Master Caster Door Stop, Brown"
146,FUR-FU-10000222,Apparels,Casual Wear,"Seth Thomas 16"" Steel Case Clock"
147,FUR-FU-10000246,Apparels,Casual Wear,Aluminum Document Frame
148,FUR-FU-10000260,Apparels,Casual Wear,"6"" Cubicle Wall Clock, Black"
149,FUR-FU-10000277,Apparels,Casual Wear,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting
150,FUR-FU-10000293,Apparels,Casual Wear,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets
151,FUR-FU-10000305,Apparels,Casual Wear,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12"""
152,FUR-FU-10000308,Apparels,Casual Wear,Deflect-o Glass Clear Studded Chair Mats
153,FUR-FU-10000320,Apparels,Casual Wear,OIC Stacking Trays
154,FUR-FU-10000397,Apparels,Casual Wear,Luxo Economy Swing Arm Lamp
155,FUR-FU-10000409,Apparels,Casual Wear,"GE 4 Foot Flourescent Tube, 40 Watt"
156,FUR-FU-10000448,Apparels,Casual Wear,Tenex Chairmats For Use With Carpeted Floors
157,FUR-FU-10000521,Apparels,Casual Wear,"Seth Thomas 14"" Putty-Colored Wall Clock"
158,FUR-FU-10000550,Apparels,Casual Wear,Stacking Trays by OIC
159,FUR-FU-10000576,Apparels,Casual Wear,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
160,FUR-FU-10000629,Apparels,Casual Wear,9-3/4 Diameter Round Wall Clock
161,FUR-FU-10000672,Apparels,Casual Wear,"Executive Impressions 10"" Spectator Wall Clock"
162,FUR-FU-10000719,Apparels,Casual Wear,"DAX Cubicle Frames, 8-1/2 x 11"
163,FUR-FU-10000723,Apparels,Casual Wear,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting"
164,FUR-FU-10000732,Apparels,Casual Wear,Eldon 200 Class Desk Accessories
165,FUR-FU-10000747,Apparels,Casual Wear,Tenex B1-RE Series Chair Mats for Low Pile Carpets
166,FUR-FU-10000755,Apparels,Casual Wear,Eldon Expressions Mahogany Wood Desk Collection
167,FUR-FU-10000758,Apparels,Casual Wear,DAX Natural Wood-Tone Poster Frame
168,FUR-FU-10000771,Apparels,Casual Wear,"Eldon 200 Class Desk Accessories, Smoke"
169,FUR-FU-10000794,Apparels,Casual Wear,"Eldon Stackable Tray, Side-Load, Legal, Smoke"
170,FUR-FU-10000820,Apparels,Casual Wear,Tensor Brushed Steel Torchiere Floor Lamp
171,FUR-FU-10000965,Apparels,Casual Wear,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock"
172,FUR-FU-10001025,Apparels,Casual Wear,"Eldon Imàge Series Desk Accessories, Clear"
173,FUR-FU-10001037,Apparels,Casual Wear,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7"
174,FUR-FU-10001057,Apparels,Casual Wear,Tensor Track Tree Floor Lamp
175,FUR-FU-10001085,Apparels,Casual Wear,3M Polarizing Light Filter Sleeves
176,FUR-FU-10001095,Apparels,Casual Wear,DAX Black Cherry Wood-Tone Poster Frame
177,FUR-FU-10001185,Apparels,Casual Wear,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2"
178,FUR-FU-10001196,Apparels,Casual Wear,DAX Cubicle Frames - 8x10
179,FUR-FU-10001215,Apparels,Casual Wear,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock"
180,FUR-FU-10001290,Apparels,Casual Wear,Executive Impressions Supervisor Wall Clock
181,FUR-FU-10001379,Apparels,Casual Wear,"Executive Impressions 16-1/2"" Circular Wall Clock"
182,FUR-FU-10001424,Apparels,Casual Wear,Dax Clear Box Frame
183,FUR-FU-10001468,Apparels,Casual Wear,Tenex Antistatic Computer Chair Mats
184,FUR-FU-10001473,Apparels,Casual Wear,DAX Wood Document Frame
185,FUR-FU-10001475,Apparels,Casual Wear,"Contract Clock, 14"", Brown"
186,FUR-FU-10001487,Apparels,Casual Wear,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
187,FUR-FU-10001488,Apparels,Casual Wear,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped"
188,FUR-FU-10001546,Apparels,Casual Wear,Dana Swing-Arm Lamps
189,FUR-FU-10001588,Apparels,Casual Wear,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black"
190,FUR-FU-10001591,Apparels,Casual Wear,Advantus Panel Wall Certificate Holder - 8.5x11
191,FUR-FU-10001602,Apparels,Casual Wear,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear"
192,FUR-FU-10001617,Apparels,Casual Wear,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock"
193,FUR-FU-10001706,Apparels,Casual Wear,Longer-Life Soft White Bulbs
194,FUR-FU-10001731,Apparels,Casual Wear,Acrylic Self-Standing Desk Frames
195,FUR-FU-10001756,Apparels,Casual Wear,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany"
196,FUR-FU-10001847,Apparels,Casual Wear,Eldon Image Series Black Desk Accessories
197,FUR-FU-10001852,Apparels,Casual Wear,"Eldon Regeneration Recycled Desk Accessories, Smoke"
198,FUR-FU-10001861,Apparels,Casual Wear,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts"
199,FUR-FU-10001867,Apparels,Casual Wear,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry"
200,FUR-FU-10001876,Apparels,Casual Wear,"Computer Room Manger, 14"""
201,FUR-FU-10001889,Apparels,Casual Wear,Ultra Door Pull Handle
202,FUR-FU-10001918,Apparels,Casual Wear,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings
203,FUR-FU-10001934,Apparels,Casual Wear,Magnifier Swing Arm Lamp
204,FUR-FU-10001935,Apparels,Casual Wear,3M Hangers With Command Adhesive
205,FUR-FU-10001940,Apparels,Casual Wear,Staple-based wall hangings
206,FUR-FU-10001967,Apparels,Casual Wear,Telescoping Adjustable Floor Lamp
207,FUR-FU-10001979,Apparels,Casual Wear,Dana Halogen Swing-Arm Architect Lamp
208,FUR-FU-10001986,Apparels,Casual Wear,"Dana Fluorescent Magnifying Lamp, White, 36"""
209,FUR-FU-10002030,Apparels,Casual Wear,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement"
210,FUR-FU-10002045,Apparels,Casual Wear,"Executive Impressions 14"""
211,FUR-FU-10002088,Apparels,Casual Wear,Nu-Dell Float Frame 11 x 14 1/2
212,FUR-FU-10002107,Apparels,Casual Wear,Eldon Pizzaz Desk Accessories
213,FUR-FU-10002111,Apparels,Casual Wear,"Master Caster Door Stop, Large Brown"
214,FUR-FU-10002116,Apparels,Casual Wear,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats"
215,FUR-FU-10002157,Apparels,Casual Wear,Artistic Insta-Plaque
216,FUR-FU-10002191,Apparels,Casual Wear,G.E. Halogen Desk Lamp Bulbs
217,FUR-FU-10002240,Apparels,Casual Wear,Nu-Dell EZ-Mount Plastic Wall Frames
218,FUR-FU-10002253,Apparels,Casual Wear,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock"
219,FUR-FU-10002268,Apparels,Casual Wear,Ultra Door Push Plate
220,FUR-FU-10002298,Apparels,Casual Wear,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle"
221,FUR-FU-10002364,Apparels,Casual Wear,"Eldon Expressions Wood Desk Accessories, Oak"
222,FUR-FU-10002379,Apparels,Casual Wear,Eldon Econocleat Chair Mats for Low Pile Carpets
223,FUR-FU-10002396,Apparels,Casual Wear,"DAX Copper Panel Document Frame, 5 x 7 Size"
224,FUR-FU-10002445,Apparels,Casual Wear,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7"
225,FUR-FU-10002456,Apparels,Casual Wear,"Master Caster Door Stop, Large Neon Orange"
226,FUR-FU-10002501,Apparels,Casual Wear,Nu-Dell Executive Frame
227,FUR-FU-10002505,Apparels,Casual Wear,Eldon 100 Class Desk Accessories
228,FUR-FU-10002506,Apparels,Casual Wear,"Tensor ""Hersey Kiss"" Styled Floor Lamp"
229,FUR-FU-10002508,Apparels,Casual Wear,Document Clip Frames
230,FUR-FU-10002553,Apparels,Casual Wear,"Electrix Incandescent Magnifying Lamp, Black"
231,FUR-FU-10002554,Apparels,Casual Wear,"Westinghouse Floor Lamp with Metal Mesh Shade, Black"
232,FUR-FU-10002597,Apparels,Casual Wear,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene"
233,FUR-FU-10002671,Apparels,Casual Wear,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp
234,FUR-FU-10002685,Apparels,Casual Wear,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock"
235,FUR-FU-10002703,Apparels,Casual Wear,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48"""
236,FUR-FU-10002759,Apparels,Casual Wear,12-1/2 Diameter Round Wall Clock
237,FUR-FU-10002813,Apparels,Casual Wear,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size"
238,FUR-FU-10002874,Apparels,Casual Wear,Ultra Commercial Grade Dual Valve Door Closer
239,FUR-FU-10002878,Apparels,Casual Wear,"Seth Thomas 14"" Day/Date Wall Clock"
240,FUR-FU-10002885,Apparels,Casual Wear,Magna Visual Magnetic Picture Hangers
241,FUR-FU-10002918,Apparels,Casual Wear,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
242,FUR-FU-10002937,Apparels,Casual Wear,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box"
243,FUR-FU-10002960,Apparels,Casual Wear,"Eldon 200 Class Desk Accessories, Burgundy"
244,FUR-FU-10002963,Apparels,Casual Wear,"Master Caster Door Stop, Gray"
245,FUR-FU-10003026,Apparels,Casual Wear,"Eldon Regeneration Recycled Desk Accessories, Black"
246,FUR-FU-10003039,Apparels,Casual Wear,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock"
247,FUR-FU-10003095,Apparels,Casual Wear,"Linden 12"" Wall Clock With Oak Frame"
248,FUR-FU-10003096,Apparels,Casual Wear,"Master Giant Foot Doorstop, Safety Yellow"
249,FUR-FU-10003142,Apparels,Casual Wear,"Master Big Foot Doorstop, Beige"
250,FUR-FU-10003192,Apparels,Casual Wear,Luxo Adjustable Task Clamp Lamp
251,FUR-FU-10003194,Apparels,Casual Wear,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
252,FUR-FU-10003247,Apparels,Casual Wear,36X48 HARDFLOOR CHAIRMAT
253,FUR-FU-10003268,Apparels,Casual Wear,Eldon Radial Chair Mat for Low to Medium Pile Carpets
254,FUR-FU-10003274,Apparels,Casual Wear,Regeneration Desk Collection
255,FUR-FU-10003347,Apparels,Casual Wear,Coloredge Poster Frame
256,FUR-FU-10003374,Apparels,Casual Wear,Electrix Fluorescent Magnifier Lamps & Weighted Base
257,FUR-FU-10003394,Apparels,Casual Wear,"Tenex ""The Solids"" Textured Chair Mats"
258,FUR-FU-10003424,Apparels,Casual Wear,Nu-Dell Oak Frame
259,FUR-FU-10003464,Apparels,Casual Wear,"Seth Thomas 8 1/2"" Cubicle Clock"
260,FUR-FU-10003489,Apparels,Casual Wear,Contemporary Borderless Frame
261,FUR-FU-10003535,Apparels,Casual Wear,Howard Miller Distant Time Traveler Alarm Clock
262,FUR-FU-10003553,Apparels,Casual Wear,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock"
263,FUR-FU-10003577,Apparels,Casual Wear,Nu-Dell Leatherette Frames
264,FUR-FU-10003601,Apparels,Casual Wear,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting"
265,FUR-FU-10003623,Apparels,Casual Wear,"DataProducts Ampli Magnifier Task Lamp, Black,"
266,FUR-FU-10003664,Apparels,Casual Wear,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
267,FUR-FU-10003691,Apparels,Casual Wear,"Eldon Image Series Desk Accessories, Ebony"
268,FUR-FU-10003708,Apparels,Casual Wear,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
269,FUR-FU-10003724,Apparels,Casual Wear,Westinghouse Clip-On Gooseneck Lamps
270,FUR-FU-10003731,Apparels,Casual Wear,"Eldon Expressions Wood and Plastic Desk Accessories, Oak"
271,FUR-FU-10003773,Apparels,Casual Wear,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
272,FUR-FU-10003798,Apparels,Casual Wear,"Ultra Door Kickplate, 8""H x 34""W"
273,FUR-FU-10003799,Apparels,Casual Wear,"Seth Thomas 13 1/2"" Wall Clock"
274,FUR-FU-10003806,Apparels,Casual Wear,"Tenex Chairmat w/ Average Lip, 45"" x 53"""
275,FUR-FU-10003829,Apparels,Casual Wear,Stackable Trays
276,FUR-FU-10003832,Apparels,Casual Wear,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry"
277,FUR-FU-10003849,Apparels,Casual Wear,"DAX Metal Frame, Desktop, Stepped-Edge"
278,FUR-FU-10003878,Apparels,Casual Wear,"Linden 10"" Round Wall Clock, Black"
279,FUR-FU-10003919,Apparels,Casual Wear,Eldon Executive Woodline II Cherry Finish Desk Accessories
280,FUR-FU-10003930,Apparels,Casual Wear,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock
281,FUR-FU-10003975,Apparels,Casual Wear,Eldon Advantage Chair Mats for Low to Medium Pile Carpets
282,FUR-FU-10003976,Apparels,Casual Wear,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7"
283,FUR-FU-10003981,Apparels,Casual Wear,Eldon Wave Desk Accessories
