return_key,sales_key,date_key,product_key,customer_key,return_quantity,return_amount,return_reason_category,return_reason,return_condition,days_to_return,refund_type,defect_flag,damaged_flag,wrong_item_flag,quality_issue_flag,delivery_issue_flag,customer_comment
26,100,20261211,5,11,1,3998.0,Product Quality,Quality Issue,Defective,9,Exchange,True,False,False,True,False,Quality issue
27,110,20260220,1,6,1,8748.25,Product Quality,Battery Issue,Defective,14,Store Credit,True,False,False,True,False,Battery performance below expectation
28,111,20260227,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
29,120,20260501,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
30,121,20260509,1,2,1,3749.25,Product Quality,Battery Issue,Defective,14,Exchange,True,False,False,True,False,Battery performance below expectation
31,122,20260516,1,3,1,4999.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
32,123,20260523,1,4,1,4499.1,Customer Preference,Not As Expected,Good,4,Refund,False,False,False,False,False,Customer requested return
33,125,20260606,6,6,1,5998.0,Customer Preference,Not As Expected,Good,9,Store Credit,False,False,False,False,False,Customer requested return
34,132,20260726,1,13,1,3749.25,Product Quality,Audio Defect,Defective,14,Refund,True,False,False,True,False,Audio quality issue
35,133,20260802,1,14,1,4249.15,Delivery,Damaged During Delivery,Damaged,4,Exchange,False,True,False,False,True,Package arrived damaged
36,134,20260809,1,15,1,4999.0,Wrong Item,Wrong Item Delivered,Good,4,Store Credit,False,False,True,False,False,Received different product
37,135,20260816,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
38,144,20261019,1,10,1,4499.1,Customer Preference,Not As Expected,Good,4,Refund,False,False,False,False,False,Customer requested return
39,145,20261026,1,11,1,9998.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
40,146,20261102,1,12,1,4999.0,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
41,150,20261130,7,1,1,4748.1,Customer Preference,Changed Mind,Good,9,Refund,False,False,False,False,False,Customer requested return
42,156,20260112,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
43,170,20260421,1,6,1,14997.0,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
44,171,20260428,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
45,175,20260526,8,11,1,51798.15,Delivery,Damaged During Delivery,Damaged,9,Exchange,False,True,False,False,True,Package arrived damaged
46,180,20260701,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
47,181,20260708,1,2,1,4999.0,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
48,182,20260715,1,3,1,4249.15,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
49,183,20260722,1,4,1,4499.1,Wrong Item,Wrong Item Delivered,Good,4,Refund,False,False,True,False,False,Received different product
50,192,20260924,1,13,1,4499.1,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
51,193,20261001,1,14,1,4999.0,Customer Preference,Not As Expected,Good,4,Exchange,False,False,False,False,False,Customer requested return
52,194,20261008,1,15,1,4999.0,Customer Preference,Not As Expected,Good,4,Store Credit,False,False,False,False,False,Customer requested return
53,195,20261015,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
54,200,20261120,9,6,1,31998.0,Customer Preference,Not As Expected,Good,9,Store Credit,False,False,False,False,False,Customer requested return
55,204,20261218,1,10,1,14497.1,Wrong Item,Wrong Item Delivered,Good,4,Refund,False,False,True,False,False,Received different product
56,205,20261225,1,11,1,9998.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
57,206,20260101,1,12,1,4999.0,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
58,216,20260313,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
59,225,20260516,10,1,1,18998.1,Wrong Item,Wrong Item Delivered,Good,9,Refund,False,False,True,False,False,Received different product
60,230,20260620,1,6,1,9998.0,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
61,231,20260628,1,7,1,3749.25,Product Quality,Battery Issue,Defective,14,Refund,True,False,False,True,False,Battery performance below expectation
62,240,20260830,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
63,241,20260906,1,2,1,4999.0,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
64,242,20260914,1,3,1,3749.25,Product Quality,Audio Defect,Defective,14,Store Credit,True,False,False,True,False,Audio quality issue
65,243,20260921,1,4,1,4499.1,Customer Preference,Not As Expected,Good,4,Refund,False,False,False,False,False,Customer requested return
66,250,20261109,11,11,1,15998.0,Customer Preference,Not As Expected,Good,9,Exchange,False,False,False,False,False,Customer requested return
67,252,20261123,1,13,1,4249.15,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
68,253,20261201,1,14,1,3749.25,Wrong Item,Wrong Item Delivered,Good,14,Exchange,False,False,True,False,False,Received different product
69,254,20261208,1,15,1,4999.0,Product Quality,Quality Issue,Defective,4,Store Credit,True,False,False,True,False,Quality issue
70,255,20261215,1,1,1,14497.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
71,264,20260217,1,10,1,3749.25,Customer Preference,Not As Expected,Good,14,Refund,False,False,False,False,False,Customer requested return
72,265,20260224,1,11,1,9998.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
73,266,20260303,1,12,1,4249.15,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
74,275,20260506,12,6,1,6123.25,Product Quality,Quality Issue,Defective,14,Store Credit,True,False,False,True,False,Quality issue
75,276,20260513,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
76,290,20260820,1,6,1,9998.0,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
77,291,20260827,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
78,300,20261030,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
79,301,20261106,1,2,1,4249.15,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
80,302,20261113,1,3,1,4999.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
81,303,20261120,1,4,1,4499.1,Product Quality,Quality Issue,Defective,4,Refund,True,False,False,True,False,Quality issue
82,312,20260123,1,13,1,4499.1,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
83,313,20260130,1,14,1,4999.0,Customer Preference,Not As Expected,Good,4,Exchange,False,False,False,False,False,Customer requested return
84,314,20260206,1,15,1,4999.0,Customer Preference,Not As Expected,Good,4,Store Credit,False,False,False,False,False,Customer requested return
85,315,20260213,1,1,1,9248.15,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
86,324,20260418,1,10,1,4499.1,Product Quality,Quality Issue,Defective,4,Refund,True,False,False,True,False,Quality issue
87,325,20260425,1,11,1,9998.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
88,326,20260502,1,12,1,4999.0,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
89,336,20260712,1,7,1,4249.15,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
90,350,20261019,1,6,1,9248.15,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
91,351,20261026,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
92,360,20261229,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
93,361,20260105,1,2,1,4999.0,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
94,362,20260112,1,3,1,4999.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
95,363,20260120,1,4,1,3749.25,Customer Preference,Not As Expected,Good,14,Refund,False,False,False,False,False,Customer requested return
96,372,20260324,1,13,1,4499.1,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
97,373,20260331,1,14,1,4999.0,Product Quality,Quality Issue,Defective,4,Exchange,True,False,False,True,False,Quality issue
98,374,20260408,1,15,1,13747.25,Customer Preference,Changed Mind,Good,14,Store Credit,False,False,False,False,False,Customer requested return
99,375,20260415,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
100,384,20260617,1,10,1,4499.1,Customer Preference,Not As Expected,Good,4,Refund,False,False,False,False,False,Customer requested return
101,385,20260625,1,11,1,8748.25,Product Quality,Battery Issue,Defective,14,Exchange,True,False,False,True,False,Battery performance below expectation
102,386,20260702,1,12,1,4999.0,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
103,396,20260911,1,7,1,3749.25,Product Quality,Battery Issue,Defective,14,Refund,True,False,False,True,False,Battery performance below expectation
104,400,20261009,5,11,1,3998.0,Wrong Item,Wrong Item Delivered,Good,9,Exchange,False,False,True,False,False,Received different product
105,410,20261219,1,6,1,9998.0,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
106,411,20261226,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
107,420,20260228,1,1,1,9248.15,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
108,421,20260307,1,2,1,4999.0,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
109,422,20260314,1,3,1,4999.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
110,423,20260321,1,4,1,4499.1,Customer Preference,Changed Mind,Good,4,Refund,False,False,False,False,False,Customer requested return
111,425,20260404,6,6,1,8997.0,Customer Preference,Not As Expected,Good,9,Store Credit,False,False,False,False,False,Customer requested return
112,432,20260524,1,13,1,4499.1,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
113,433,20260531,1,14,1,4999.0,Customer Preference,Not As Expected,Good,4,Exchange,False,False,False,False,False,Customer requested return
114,434,20260607,1,15,1,4249.15,Delivery,Damaged During Delivery,Damaged,4,Store Credit,False,True,False,False,True,Package arrived damaged
115,435,20260614,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
116,444,20260817,1,10,1,4499.1,Customer Preference,Changed Mind,Good,4,Refund,False,False,False,False,False,Customer requested return
117,445,20260824,1,11,1,9998.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
118,446,20260831,1,12,1,4999.0,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
119,450,20260928,7,1,1,4748.1,Product Quality,Quality Issue,Defective,9,Refund,True,False,False,True,False,Quality issue
120,456,20261110,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
121,470,20260217,1,6,1,9998.0,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
122,471,20260224,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
123,475,20260325,8,11,1,55998.0,Customer Preference,Not As Expected,Good,9,Exchange,False,False,False,False,False,Customer requested return
124,480,20260429,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
125,481,20260506,1,2,1,4999.0,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
126,482,20260513,1,3,1,4999.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
127,483,20260520,1,4,1,4249.15,Delivery,Damaged During Delivery,Damaged,4,Refund,False,True,False,False,True,Package arrived damaged
128,492,20260723,1,13,1,4499.1,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
129,493,20260730,1,14,1,14997.0,Customer Preference,Changed Mind,Good,4,Exchange,False,False,False,False,False,Customer requested return
130,494,20260806,1,15,1,4999.0,Customer Preference,Not As Expected,Good,4,Store Credit,False,False,False,False,False,Customer requested return
131,495,20260814,1,1,1,8748.25,Product Quality,Battery Issue,Defective,14,Refund,True,False,False,True,False,Battery performance below expectation
132,500,20260918,9,6,1,31998.0,Customer Preference,Changed Mind,Good,9,Store Credit,False,False,False,False,False,Customer requested return
133,504,20261016,1,10,1,4249.15,Delivery,Damaged During Delivery,Damaged,4,Refund,False,True,False,False,True,Package arrived damaged
134,505,20261023,1,11,1,9998.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
135,506,20261031,1,12,1,3749.25,Product Quality,Battery Issue,Defective,14,Store Credit,True,False,False,True,False,Battery performance below expectation
136,516,20260109,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
137,525,20260314,10,1,1,18498.15,Delivery,Damaged During Delivery,Damaged,9,Refund,False,True,False,False,True,Package arrived damaged
138,530,20260419,1,6,1,9998.0,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
139,531,20260426,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
140,540,20260629,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
141,541,20260706,1,2,1,4999.0,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
142,542,20260713,1,3,1,4999.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
143,543,20260720,1,4,1,4499.1,Customer Preference,Not As Expected,Good,4,Refund,False,False,False,False,False,Customer requested return
144,550,20260908,11,11,1,13998.25,Customer Preference,Not As Expected,Good,14,Exchange,False,False,False,False,False,Customer requested return
145,552,20260922,1,13,1,4499.1,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
146,553,20260929,1,14,1,4249.15,Delivery,Damaged During Delivery,Damaged,4,Exchange,False,True,False,False,True,Package arrived damaged
147,554,20261006,1,15,1,4999.0,Wrong Item,Wrong Item Delivered,Good,4,Store Credit,False,False,True,False,False,Received different product
148,555,20261013,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
149,564,20261216,1,10,1,4499.1,Customer Preference,Not As Expected,Good,4,Refund,False,False,False,False,False,Customer requested return
150,565,20261223,1,11,1,9998.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
151,566,20261230,1,12,1,4999.0,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
152,575,20260304,12,6,1,6998.0,Wrong Item,Wrong Item Delivered,Good,9,Store Credit,False,False,True,False,False,Received different product
153,576,20260311,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
154,590,20260618,1,6,1,9998.0,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
155,591,20260625,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
156,600,20260828,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
157,601,20260904,1,2,1,4999.0,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
158,602,20260911,1,3,1,4249.15,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
159,603,20260918,1,4,1,4499.1,Wrong Item,Wrong Item Delivered,Good,4,Refund,False,False,True,False,False,Received different product
160,612,20261121,1,13,1,14497.1,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
161,613,20261128,1,14,1,4999.0,Customer Preference,Not As Expected,Good,4,Exchange,False,False,False,False,False,Customer requested return
162,614,20261205,1,15,1,4999.0,Customer Preference,Not As Expected,Good,4,Store Credit,False,False,False,False,False,Customer requested return
163,615,20261212,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
164,624,20260214,1,10,1,4499.1,Wrong Item,Wrong Item Delivered,Good,4,Refund,False,False,True,False,False,Received different product
165,625,20260221,1,11,1,9998.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
166,626,20260228,1,12,1,4999.0,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
167,636,20260510,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
168,650,20260818,1,6,1,9998.0,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
169,651,20260825,1,7,1,4249.15,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
170,660,20261028,1,1,1,8748.25,Product Quality,Battery Issue,Defective,14,Refund,True,False,False,True,False,Battery performance below expectation
171,661,20261104,1,2,1,4999.0,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
172,662,20261111,1,3,1,4999.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
173,663,20261118,1,4,1,14497.1,Customer Preference,Not As Expected,Good,4,Refund,False,False,False,False,False,Customer requested return
174,672,20260121,1,13,1,4249.15,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
175,673,20260128,1,14,1,4999.0,Wrong Item,Wrong Item Delivered,Good,4,Exchange,False,False,True,False,False,Received different product
176,674,20260204,1,15,1,4999.0,Product Quality,Quality Issue,Defective,4,Store Credit,True,False,False,True,False,Quality issue
177,675,20260211,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
178,684,20260416,1,10,1,4499.1,Customer Preference,Not As Expected,Good,4,Refund,False,False,False,False,False,Customer requested return
179,685,20260423,1,11,1,9998.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
180,686,20260430,1,12,1,4249.15,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
181,696,20260710,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
182,700,20260807,5,11,1,3698.15,Delivery,Damaged During Delivery,Damaged,9,Exchange,False,True,False,False,True,Package arrived damaged
183,710,20261017,1,6,1,9998.0,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
184,711,20261024,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
185,720,20261227,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
186,721,20260103,1,2,1,4249.15,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
187,722,20260110,1,3,1,4999.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
188,723,20260117,1,4,1,4499.1,Product Quality,Quality Issue,Defective,4,Refund,True,False,False,True,False,Quality issue
189,725,20260131,6,6,1,5998.0,Customer Preference,Not As Expected,Good,9,Store Credit,False,False,False,False,False,Customer requested return
190,732,20260322,1,13,1,4499.1,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
191,733,20260329,1,14,1,4999.0,Customer Preference,Not As Expected,Good,4,Exchange,False,False,False,False,False,Customer requested return
192,734,20260405,1,15,1,4999.0,Customer Preference,Not As Expected,Good,4,Store Credit,False,False,False,False,False,Customer requested return
193,735,20260412,1,1,1,9248.15,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
194,744,20260615,1,10,1,4499.1,Product Quality,Quality Issue,Defective,4,Refund,True,False,False,True,False,Quality issue
195,745,20260622,1,11,1,9998.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
196,746,20260629,1,12,1,4999.0,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
197,750,20260728,7,1,1,4748.1,Wrong Item,Wrong Item Delivered,Good,9,Refund,False,False,True,False,False,Received different product
198,756,20260908,1,7,1,4249.15,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
199,770,20261217,1,6,1,8748.25,Product Quality,Battery Issue,Defective,14,Store Credit,True,False,False,True,False,Battery performance below expectation
200,771,20261224,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
201,775,20260121,8,11,1,55998.0,Customer Preference,Not As Expected,Good,9,Exchange,False,False,False,False,False,Customer requested return
202,780,20260225,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
203,781,20260305,1,2,1,3749.25,Product Quality,Battery Issue,Defective,14,Exchange,True,False,False,True,False,Battery performance below expectation
204,782,20260312,1,3,1,14997.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
205,783,20260319,1,4,1,4499.1,Customer Preference,Not As Expected,Good,4,Refund,False,False,False,False,False,Customer requested return
206,792,20260522,1,13,1,3749.25,Product Quality,Audio Defect,Defective,14,Refund,True,False,False,True,False,Audio quality issue
207,793,20260529,1,14,1,4999.0,Product Quality,Quality Issue,Defective,4,Exchange,True,False,False,True,False,Quality issue
208,794,20260605,1,15,1,4999.0,Customer Preference,Changed Mind,Good,4,Store Credit,False,False,False,False,False,Customer requested return
209,795,20260612,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
210,800,20260717,9,6,1,31998.0,Product Quality,Quality Issue,Defective,9,Store Credit,True,False,False,True,False,Quality issue
211,804,20260815,1,10,1,4499.1,Customer Preference,Not As Expected,Good,4,Refund,False,False,False,False,False,Customer requested return
212,805,20260822,1,11,1,9248.15,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
213,806,20260829,1,12,1,4999.0,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
214,816,20261108,1,7,1,14497.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
215,825,20260111,10,1,1,17498.25,Customer Preference,Not As Expected,Good,14,Refund,False,False,False,False,False,Customer requested return
216,830,20260215,1,6,1,9998.0,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
217,831,20260222,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
218,840,20260427,1,1,1,9248.15,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
219,841,20260504,1,2,1,4999.0,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
220,842,20260511,1,3,1,4999.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
221,843,20260518,1,4,1,4499.1,Customer Preference,Changed Mind,Good,4,Refund,False,False,False,False,False,Customer requested return
222,850,20260707,11,11,1,23997.0,Customer Preference,Changed Mind,Good,9,Exchange,False,False,False,False,False,Customer requested return
223,852,20260721,1,13,1,4499.1,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
