return_key,sales_key,date_key,customer_key,product_key,returned_quantity,return_amount,return_reason
228,4922,171,64,17,1,412.94,Customer Changed Mind
229,4930,235,53,25,1,1915.04,Customer Changed Mind
230,4934,91,20,23,1,25.33,Damaged
231,4948,5,80,4,2,757.82,Customer Changed Mind
232,4950,204,6,5,2,319.58,Customer Changed Mind
233,4985,21,113,39,1,195.45,Other
234,5019,208,49,8,1,62.93,Other
235,5089,166,130,40,2,191.45,Customer Changed Mind
236,5094,28,129,28,1,277.75,Other
237,5126,267,119,34,1,962.3,Other
238,5129,330,140,14,1,1089.44,Other
239,5131,8,150,33,2,936.26,Customer Changed Mind
240,5138,15,145,29,1,1797.11,Customer Changed Mind
241,5160,358,132,15,2,988.77,Other
242,5191,70,3,11,2,1511.88,Customer Changed Mind
243,5226,158,144,21,2,561.15,Customer Changed Mind
244,5232,152,33,25,1,1878.27,Customer Changed Mind
245,5234,192,59,2,1,1773.95,Damaged
246,5301,268,79,28,2,381.93,Customer Changed Mind
247,5310,154,27,3,2,1422.86,Customer Changed Mind
248,5323,110,137,23,2,60.75,Customer Changed Mind
249,5354,3,113,1,1,1137.97,Customer Changed Mind
250,5366,215,145,33,1,1033.86,Customer Changed Mind
251,5384,118,33,10,2,3087.21,Damaged
252,5418,334,146,2,2,1623.99,Damaged
253,5420,190,72,18,2,497.19,Customer Changed Mind
254,5423,252,33,33,1,638.9,Damaged
255,5426,5,98,4,1,133.51,Other
256,5435,333,41,40,1,101.92,Customer Changed Mind
257,5445,306,63,6,1,352.75,Customer Changed Mind
258,5524,216,18,27,1,252.71,Customer Changed Mind
259,5554,271,149,36,1,1654.9,Wrong Item
260,5591,328,137,17,2,488.25,Damaged
261,5633,293,83,36,1,334.71,Wrong Item
262,5641,26,56,39,2,535.16,Damaged
263,5661,5,85,5,1,371.87,Customer Changed Mind
264,5677,111,135,27,1,87.75,Customer Changed Mind
265,5679,300,133,38,1,739.64,Customer Changed Mind
266,5705,118,18,3,2,1106.01,Wrong Item
267,5782,278,105,10,1,1002.5,Other
268,5806,260,68,14,2,1384.74,Customer Changed Mind
269,5832,359,49,28,1,70.57,Damaged
270,5841,24,32,34,1,951.02,Wrong Item
271,5883,343,73,1,1,278.44,Customer Changed Mind
272,5884,266,112,29,1,271.58,Customer Changed Mind
273,5893,222,18,9,1,83.88,Customer Changed Mind
274,5968,237,118,19,1,1747.57,Customer Changed Mind
