sales_key,date_key,customer_key,product_key,quantity,unit_price,discount_amount,sales_amount,cost_amount,profit_amount
146,251,106,5,3,60.41,9.06,172.18,101.52,70.65
147,86,133,4,7,200.74,0.0,1405.19,924.08,481.12
148,109,74,4,6,238.21,71.46,1357.81,797.63,560.17
149,290,97,32,1,351.69,35.17,316.52,179.94,136.58
150,347,91,13,1,166.47,8.32,158.15,125.69,32.46
151,245,148,14,1,354.13,0.0,354.13,241.76,112.37
152,335,35,1,6,242.68,145.61,1310.45,752.38,558.08
153,312,36,39,2,322.57,0.0,645.14,479.66,165.48
154,176,57,18,2,111.09,0.0,222.18,126.65,95.53
155,282,111,32,4,360.31,216.18,1225.04,804.81,420.23
156,120,130,29,1,382.32,0.0,382.32,234.05,148.27
157,169,42,6,3,75.1,0.0,225.29,133.92,91.37
158,196,17,33,5,257.78,64.44,1224.45,849.84,374.61
159,351,92,23,7,37.42,26.19,235.75,175.48,60.28
160,310,90,25,4,407.2,0.0,1628.79,1110.09,518.7
161,179,57,9,6,41.72,0.0,250.3,193.13,57.16
162,239,28,34,4,340.52,0.0,1362.07,1086.52,275.55
163,74,128,38,4,158.16,0.0,632.65,485.84,146.81
164,294,127,17,4,235.12,0.0,940.48,760.15,180.33
165,202,113,4,7,207.94,0.0,1455.6,1165.7,289.9
166,195,87,34,1,355.9,35.59,320.31,248.17,72.14
167,280,40,36,4,494.26,98.85,1878.17,1181.39,696.78
168,232,61,21,1,271.81,27.18,244.63,146.06,98.57
169,27,11,24,7,84.95,59.46,535.17,399.39,135.78
170,106,38,9,5,43.4,21.7,195.32,152.01,43.3
171,65,68,3,1,256.44,12.82,243.61,188.13,55.48
172,269,66,38,5,146.0,0.0,730.0,528.36,201.64
173,13,13,20,4,68.81,27.52,247.7,191.74,55.97
174,74,144,11,1,330.27,0.0,330.27,244.71,85.56
175,219,41,28,7,87.03,0.0,609.19,444.5,164.7
176,254,77,2,3,342.96,0.0,1028.88,578.82,450.06
177,184,70,4,1,201.28,0.0,201.28,135.73,65.55
178,315,71,10,5,415.56,0.0,2077.8,1161.78,916.02
179,336,127,19,3,389.91,116.97,1052.75,605.27,447.48
180,49,112,15,5,229.66,0.0,1148.29,799.29,349.0
181,348,131,8,2,25.82,0.0,51.64,29.06,22.58
182,225,57,15,6,200.85,0.0,1205.07,959.92,245.15
183,233,40,14,3,365.74,109.72,987.49,663.19,324.3
184,35,65,21,3,246.03,0.0,738.1,545.45,192.65
185,227,85,23,6,39.32,0.0,235.92,139.17,96.75
186,265,51,36,4,448.99,179.6,1616.36,1258.9,357.46
187,212,70,33,1,257.24,25.72,231.51,157.22,74.3
188,31,23,12,5,15.45,0.0,77.24,54.14,23.11
189,191,88,37,5,488.14,122.04,2318.69,1681.26,637.43
190,342,108,21,3,270.88,0.0,812.65,565.42,247.23
191,265,80,8,2,27.79,5.56,50.02,35.12,14.9
192,51,131,14,1,390.49,19.52,370.97,278.61,92.36
193,351,150,30,6,252.58,75.77,1439.7,1105.33,334.37
194,350,136,33,1,271.24,0.0,271.24,171.6,99.63
195,62,14,15,5,233.2,58.3,1107.72,885.02,222.7
196,293,133,7,6,394.94,0.0,2369.64,1529.72,839.91
197,149,51,8,3,24.72,0.0,74.16,46.24,27.92
198,217,68,5,2,59.93,5.99,113.86,72.2,41.66
199,163,62,28,6,83.36,50.02,450.14,291.15,158.99
200,286,43,21,5,269.03,0.0,1345.16,854.94,490.21
201,364,132,19,1,341.54,34.15,307.39,239.09,68.3
202,291,96,27,5,148.13,0.0,740.67,519.59,221.08
203,340,146,34,1,358.85,17.94,340.91,276.56,64.34
204,346,144,32,3,318.01,0.0,954.02,546.34,407.68
205,33,63,6,3,68.52,0.0,205.57,147.14,58.43
206,93,110,24,6,80.38,48.23,434.03,249.97,184.06
207,264,76,36,7,474.88,0.0,3324.19,2240.14,1084.05
208,216,75,31,5,503.03,251.52,2263.65,1478.93,784.72
209,19,111,14,6,396.25,0.0,2377.49,1744.63,632.87
210,35,104,16,1,262.68,13.13,249.55,187.48,62.07
211,190,137,36,1,471.84,0.0,471.84,289.84,182.0
212,225,116,2,6,345.66,103.7,1970.26,1186.69,783.57
213,62,94,22,3,92.2,27.66,248.93,165.11,83.82
214,63,138,5,4,53.25,10.65,202.34,124.5,77.83
215,48,16,36,5,498.55,0.0,2492.76,1826.41,666.34
216,207,115,2,3,323.72,97.12,874.04,602.89,271.15
217,3,59,1,5,254.74,63.68,1210.0,935.67,274.33
218,209,65,14,6,414.94,0.0,2489.64,2028.91,460.72
219,174,118,9,2,40.99,4.1,77.88,50.78,27.09
220,171,42,20,5,59.07,14.77,280.57,223.4,57.17
221,248,133,12,2,17.74,3.55,31.93,24.26,7.67
222,191,75,15,3,217.83,0.0,653.48,385.73,267.76
223,266,53,23,6,40.23,0.0,241.39,187.25,54.14
224,279,50,23,7,38.94,40.89,231.69,157.55,74.14
225,336,64,38,1,134.17,6.71,127.46,94.51,32.95
226,292,142,20,5,61.14,0.0,305.68,226.11,79.57
227,189,16,23,4,35.75,21.45,121.55,95.93,25.62
228,180,77,28,5,85.29,0.0,426.46,322.2,104.26
229,87,126,7,6,384.45,0.0,2306.69,1782.26,524.43
230,219,71,27,1,157.43,15.74,141.69,90.21,51.48
231,51,85,35,6,34.7,10.41,197.76,160.73,37.03
232,340,53,13,2,160.6,48.18,273.02,198.93,74.09
233,309,21,8,2,24.82,2.48,47.17,35.8,11.37
234,44,96,14,4,362.3,0.0,1449.2,1133.12,316.07
235,287,138,12,1,16.7,0.0,16.7,9.75,6.96
236,43,79,24,5,85.34,0.0,426.71,273.45,153.26
237,264,65,35,4,37.64,15.06,135.51,105.12,30.39
238,33,20,24,4,80.08,0.0,320.3,255.9,64.4
239,179,142,6,1,78.66,0.0,78.66,59.32,19.34
240,241,131,13,6,154.78,0.0,928.69,631.72,296.97
241,267,136,28,1,85.48,0.0,85.48,52.81,32.67
242,153,54,14,2,347.56,0.0,695.12,480.86,214.27
243,337,94,24,3,87.11,13.07,248.26,163.17,85.08
244,283,65,28,5,76.45,0.0,382.27,301.66,80.61
245,77,36,14,3,360.58,162.26,919.48,646.54,272.94
246,245,31,26,6,101.61,60.97,548.72,359.88,188.84
247,267,58,16,7,236.33,0.0,1654.29,1132.51,521.78
248,122,84,6,6,75.7,45.42,408.76,327.86,80.91
249,270,19,15,1,209.22,0.0,209.22,149.71,59.51
250,328,106,18,6,123.29,0.0,739.72,452.58,287.14
251,299,69,1,2,257.31,0.0,514.62,352.53,162.1
252,279,133,36,7,480.07,336.05,3024.46,2043.71,980.75
253,232,42,22,7,104.33,36.52,693.82,439.75,254.07
254,99,8,2,1,364.98,0.0,364.98,273.3,91.68
255,291,47,35,1,33.38,1.67,31.71,19.74,11.97
256,133,146,35,5,34.97,8.74,166.1,113.45,52.66
257,195,49,1,2,246.16,24.62,467.7,312.93,154.77
258,115,106,7,7,387.24,0.0,2710.68,1832.56,878.12
259,115,127,15,4,214.55,85.82,772.38,543.01,229.38
260,58,43,21,5,274.48,68.62,1303.79,957.62,346.17
261,351,97,30,7,247.12,0.0,1729.83,1018.2,711.64
262,54,31,17,2,223.25,44.65,401.85,252.3,149.55
263,32,55,25,4,400.08,0.0,1600.34,1214.12,386.22
264,342,45,1,7,262.68,91.94,1746.8,1388.87,357.93
265,203,101,27,1,151.03,7.55,143.48,80.65,62.84
266,160,132,37,2,467.07,0.0,934.14,532.28,401.86
267,270,38,22,2,99.93,0.0,199.87,160.32,39.55
268,140,44,19,3,365.29,54.79,1041.07,614.17,426.9
269,47,124,12,1,18.53,1.85,16.68,13.58,3.1
270,267,70,39,2,313.93,62.79,565.07,437.15,127.92
271,65,77,2,6,323.87,97.16,1846.05,1075.49,770.56
272,202,106,12,4,16.37,0.0,65.47,37.82,27.65
273,347,21,6,3,77.75,0.0,233.24,189.83,43.41
274,342,131,35,3,32.92,9.88,88.88,55.0,33.88
275,132,55,20,7,61.96,0.0,433.7,301.61,132.09
276,285,99,37,4,463.5,92.7,1761.31,1081.07,680.25
277,224,65,27,4,157.39,0.0,629.58,448.37,181.2
278,175,113,23,7,40.88,0.0,286.13,222.27,63.86
279,52,92,21,1,253.21,12.66,240.55,174.96,65.58
280,138,26,9,4,37.91,7.58,144.06,81.04,63.01
281,238,29,23,6,36.97,11.09,210.74,149.77,60.97
282,361,132,28,4,79.55,0.0,318.19,231.79,86.4
283,2,78,39,7,351.06,245.74,2211.66,1336.38,875.28
284,262,42,22,7,96.72,0.0,677.07,511.71,165.36
285,309,22,38,3,154.27,46.28,416.52,299.59,116.93
286,348,20,38,6,161.25,48.38,919.14,507.9,411.24
287,155,138,21,2,267.75,0.0,535.51,431.97,103.54
288,44,147,18,2,107.37,10.74,204.0,136.74,67.26
289,99,60,6,7,77.77,27.22,517.17,316.89,200.28
290,311,31,11,1,349.44,0.0,349.44,200.33,149.12
291,321,63,36,3,468.68,70.3,1335.73,869.69,466.04
292,233,21,6,5,83.43,0.0,417.16,264.11,153.06
293,45,83,16,3,231.63,69.49,625.41,394.29,231.12
294,45,94,28,6,81.47,0.0,488.8,373.52,115.28
295,175,148,10,2,422.88,0.0,845.77,612.67,233.1
296,215,48,39,4,299.17,119.67,1077.0,631.04,445.96
297,12,30,26,1,102.51,0.0,102.51,75.98,26.53
298,251,21,2,2,371.12,111.34,630.9,470.23,160.66
299,199,57,10,2,466.14,0.0,932.27,642.2,290.07
300,5,91,30,6,223.15,0.0,1338.93,1096.39,242.54
301,35,10,35,2,31.56,0.0,63.12,39.55,23.57
302,166,114,38,5,148.04,0.0,740.21,418.8,321.41
303,264,70,35,3,34.64,0.0,103.91,57.96,45.95
304,302,119,3,4,285.88,0.0,1143.52,727.91,415.62
305,158,70,30,7,237.53,0.0,1662.68,1138.0,524.68
306,108,24,5,7,60.62,0.0,424.33,242.34,181.98
307,354,4,4,1,229.89,0.0,229.89,161.56,68.33
308,168,84,28,6,79.78,0.0,478.66,379.69,98.97
309,116,81,20,7,66.68,0.0,466.73,357.12,109.61
310,162,123,26,5,105.4,0.0,526.99,385.53,141.46
311,5,132,35,2,37.77,0.0,75.54,55.04,20.5
312,111,25,3,5,266.99,0.0,1334.95,997.45,337.5
313,189,48,22,5,100.32,0.0,501.59,342.8,158.79
314,336,32,34,5,326.31,0.0,1631.54,1074.34,557.19
315,270,17,18,4,118.41,47.36,426.28,269.75,156.53
316,286,1,21,4,282.52,0.0,1130.1,651.95,478.15
317,199,13,20,5,70.4,0.0,352.02,247.04,104.98
318,41,79,37,4,446.03,89.21,1694.9,1148.43,546.47
319,143,23,2,6,332.46,0.0,1994.78,1161.17,833.61
320,364,30,36,5,500.34,0.0,2501.72,1557.15,944.57
321,17,18,33,3,279.87,83.96,755.65,576.22,179.43
322,321,109,33,5,294.82,73.71,1400.4,866.86,533.53
323,250,96,17,6,228.67,205.81,1166.23,775.48,390.75
324,104,145,21,4,279.18,111.67,1005.06,596.56,408.51
325,284,17,15,6,225.53,67.66,1285.53,766.0,519.54
326,306,32,11,1,334.73,16.74,317.99,239.83,78.16
327,16,69,36,3,440.51,0.0,1321.52,750.63,570.89
328,39,98,21,5,271.6,135.8,1222.2,766.27,455.93
329,243,20,29,7,346.35,121.22,2303.21,1876.72,426.49
330,365,32,5,5,59.75,0.0,298.75,202.7,96.05
331,9,64,32,5,341.05,0.0,1705.24,1216.99,488.25
332,243,3,27,3,149.32,22.4,425.55,307.68,117.87
333,50,60,40,5,107.86,0.0,539.3,325.17,214.12
334,238,114,6,3,83.5,25.05,225.45,146.48,78.97
335,228,79,22,1,101.76,0.0,101.76,66.98,34.78
336,34,66,21,2,275.53,55.11,495.96,303.67,192.29
337,249,74,22,5,102.66,0.0,513.32,314.76,198.57
338,328,143,3,7,275.76,96.52,1833.79,1309.55,524.23
339,316,79,19,4,396.96,0.0,1587.85,919.82,668.03
340,11,81,12,7,17.33,0.0,121.3,70.95,50.36
341,90,140,25,6,438.38,0.0,2630.27,1853.79,776.48
342,88,24,10,4,433.22,0.0,1732.87,1163.31,569.56
343,166,15,18,6,108.1,0.0,648.61,463.9,184.71
344,53,68,25,3,457.31,137.19,1234.75,688.1,546.65
345,312,48,3,4,262.24,0.0,1048.95,776.57,272.38
346,284,31,32,6,352.62,105.79,2009.94,1566.69,443.25
347,296,18,29,5,405.4,101.35,1925.64,1331.61,594.02
348,73,132,3,4,267.91,0.0,1071.63,832.69,238.95
349,6,93,3,4,249.36,99.74,897.69,590.6,307.09
350,333,104,35,7,35.76,25.03,225.28,128.71,96.58
351,106,18,12,1,15.37,1.54,13.83,9.02,4.82
352,240,52,35,1,36.59,3.66,32.93,22.08,10.85
353,332,94,20,4,65.29,13.06,248.11,194.44,53.67
354,14,80,14,1,384.42,57.66,326.76,209.25,117.51
355,2,105,11,3,361.39,0.0,1084.17,688.53,395.64
356,2,101,27,4,150.5,0.0,602.01,475.44,126.56
357,58,63,5,3,54.44,8.17,155.15,95.85,59.31
358,19,118,17,2,227.14,0.0,454.28,328.65,125.63
359,300,39,14,2,378.68,37.87,719.5,459.18,260.32
360,222,13,7,5,414.04,0.0,2070.21,1670.44,399.77
361,358,138,15,7,201.67,0.0,1411.71,848.72,562.99
362,293,4,22,6,94.01,56.41,507.68,378.45,129.22
363,352,43,28,4,76.93,0.0,307.72,214.95,92.77
364,88,18,4,1,214.4,0.0,214.4,174.58,39.83
365,106,35,35,2,32.07,3.21,60.93,49.87,11.07
366,311,60,36,4,500.9,200.36,1803.25,1378.22,425.03
367,90,20,28,2,75.47,15.09,135.85,78.51,57.34
368,21,71,37,5,494.7,0.0,2473.48,1673.64,799.84
369,245,140,18,3,107.78,32.34,291.02,227.2,63.81
370,293,21,33,6,271.21,81.36,1545.88,1116.73,429.15
371,354,139,30,2,217.18,43.44,390.92,307.78,83.14
372,339,62,23,4,39.3,0.0,157.19,120.38,36.81
373,44,89,8,6,29.38,0.0,176.28,111.85,64.43
374,282,67,23,2,35.48,0.0,70.96,42.76,28.19
375,309,48,37,6,522.27,156.68,2976.93,1896.58,1080.35
376,255,17,40,5,108.98,0.0,544.91,402.09,142.82
377,300,90,18,5,114.34,0.0,571.71,388.7,183.01
378,306,138,10,4,472.05,94.41,1793.78,1007.81,785.96
379,163,79,30,7,217.15,0.0,1520.03,1140.73,379.29
380,15,90,4,6,215.17,0.0,1291.03,725.65,565.38
381,167,97,7,2,350.57,0.0,701.13,463.11,238.03
382,74,59,23,4,39.05,15.62,140.58,94.86,45.71
383,42,19,40,7,111.05,38.87,738.45,506.44,232.01
384,46,77,14,2,415.38,41.54,789.23,463.71,325.51
385,255,131,18,4,107.93,43.17,388.53,292.14,96.39
386,185,48,13,6,180.43,54.13,1028.47,801.52,226.95
387,198,131,18,2,104.92,0.0,209.84,154.95,54.89
388,272,129,1,4,274.3,54.86,1042.34,840.95,201.39
389,201,37,24,4,81.23,48.74,276.17,171.09,105.08
390,230,87,24,2,79.1,0.0,158.19,93.87,64.32
391,32,113,13,2,152.83,15.28,290.38,164.99,125.4
392,311,75,11,4,367.53,0.0,1470.14,1094.97,375.16
393,164,105,31,2,447.44,89.49,805.39,478.22,327.17
394,57,137,8,7,27.35,9.57,181.91,146.13,35.78
395,297,95,2,4,387.26,154.9,1394.14,992.0,402.13
396,269,126,2,5,340.37,85.09,1616.76,1240.24,376.52
397,20,121,36,3,431.79,0.0,1295.37,864.49,430.88
398,71,122,15,3,202.0,0.0,605.99,453.53,152.46
399,6,128,5,4,52.13,20.85,187.68,125.7,61.97
400,99,34,36,5,472.57,0.0,2362.87,1643.3,719.57
401,37,3,6,3,79.86,0.0,239.58,181.81,57.77
402,260,23,14,2,369.53,36.95,702.1,431.3,270.8
403,191,38,1,2,249.53,0.0,499.07,393.67,105.39
404,358,104,28,4,84.28,0.0,337.14,250.63,86.51
405,274,77,28,5,78.72,0.0,393.58,295.8,97.78
406,224,71,31,4,479.77,0.0,1919.08,1178.9,740.18
407,186,2,11,2,387.36,38.74,735.99,422.7,313.28
408,20,103,14,2,369.13,0.0,738.27,420.57,317.7
409,26,55,38,3,149.3,0.0,447.9,324.59,123.31
410,225,115,33,3,289.46,86.84,781.54,461.5,320.04
411,2,17,2,2,366.93,0.0,733.85,601.6,132.25
412,16,45,28,7,86.1,30.13,572.56,463.48,109.08
413,80,9,33,3,287.59,0.0,862.77,481.32,381.45
414,323,43,23,2,37.87,0.0,75.74,56.48,19.25
415,168,139,26,5,101.16,25.29,480.49,298.1,182.39
416,259,74,1,6,280.31,84.09,1597.78,1025.84,571.94
417,151,66,2,4,367.35,146.94,1322.44,813.15,509.29
418,64,42,2,5,365.4,0.0,1826.98,1414.53,412.45
419,136,40,7,1,374.69,0.0,374.69,296.5,78.19
420,34,101,40,4,120.35,0.0,481.4,270.02,211.38
421,282,148,26,1,95.13,0.0,95.13,59.26,35.87
422,67,113,32,1,313.98,0.0,313.98,210.73,103.25
423,138,111,12,5,16.52,8.26,74.32,51.35,22.97
424,358,71,38,2,141.6,28.32,254.87,146.21,108.66
425,217,15,8,1,27.84,0.0,27.84,21.55,6.29
426,168,109,37,2,453.11,0.0,906.21,726.94,179.27
427,199,122,2,6,364.44,0.0,2186.62,1440.49,746.13
428,287,77,1,5,269.27,0.0,1346.33,1052.09,294.24
429,93,14,4,3,202.45,30.37,576.99,422.71,154.28
430,233,107,32,7,320.9,224.63,2021.69,1434.94,586.75
431,319,139,11,3,357.99,0.0,1073.96,828.18,245.78
432,209,34,19,7,381.89,0.0,2673.2,1811.68,861.52
433,163,24,19,3,357.45,0.0,1072.35,748.37,323.97
434,53,111,32,1,319.18,0.0,319.18,199.22,119.96
435,91,50,14,1,369.42,36.94,332.48,246.8,85.68
436,346,108,1,2,246.81,49.36,444.26,263.42,180.84
437,198,106,16,2,219.35,43.87,394.83,243.08,151.75
438,110,40,12,2,18.66,3.73,33.58,22.82,10.76
439,153,7,30,3,212.39,0.0,637.18,416.74,220.44
440,211,84,31,7,437.2,153.02,2907.4,1787.14,1120.26
441,197,62,4,2,233.72,23.37,444.06,267.24,176.82
442,256,129,32,2,348.22,0.0,696.45,544.93,151.52
443,94,54,3,7,267.73,0.0,1874.13,1329.76,544.38
444,237,38,25,2,449.64,44.96,854.32,556.93,297.39
445,162,130,16,6,263.45,158.07,1422.64,1107.33,315.31
446,344,111,13,5,153.01,0.0,765.07,591.24,173.83
447,58,93,20,7,61.63,43.14,388.26,225.17,163.09
448,55,144,13,4,178.33,71.33,641.98,451.42,190.56
449,169,118,32,5,356.12,178.06,1602.56,1013.64,588.91
450,186,130,39,2,351.33,0.0,702.66,489.07,213.59
451,253,120,33,5,262.57,0.0,1312.87,976.59,336.28
452,148,61,18,5,123.09,30.77,584.69,322.92,261.77
453,334,10,21,7,252.86,0.0,1770.0,1218.93,551.07
454,174,92,18,1,117.9,0.0,117.9,74.13,43.77
455,48,115,32,2,363.01,72.6,653.42,453.59,199.83
