date_key,date,year,quarter,month,month_name
129,2025-05-09,2025,Q2,5,May
130,2025-05-10,2025,Q2,5,May
131,2025-05-11,2025,Q2,5,May
132,2025-05-12,2025,Q2,5,May
133,2025-05-13,2025,Q2,5,May
134,2025-05-14,2025,Q2,5,May
135,2025-05-15,2025,Q2,5,May
136,2025-05-16,2025,Q2,5,May
137,2025-05-17,2025,Q2,5,May
138,2025-05-18,2025,Q2,5,May
139,2025-05-19,2025,Q2,5,May
140,2025-05-20,2025,Q2,5,May
141,2025-05-21,2025,Q2,5,May
142,2025-05-22,2025,Q2,5,May
143,2025-05-23,2025,Q2,5,May
144,2025-05-24,2025,Q2,5,May
145,2025-05-25,2025,Q2,5,May
146,2025-05-26,2025,Q2,5,May
147,2025-05-27,2025,Q2,5,May
148,2025-05-28,2025,Q2,5,May
149,2025-05-29,2025,Q2,5,May
150,2025-05-30,2025,Q2,5,May
151,2025-05-31,2025,Q2,5,May
152,2025-06-01,2025,Q2,6,June
153,2025-06-02,2025,Q2,6,June
154,2025-06-03,2025,Q2,6,June
155,2025-06-04,2025,Q2,6,June
156,2025-06-05,2025,Q2,6,June
157,2025-06-06,2025,Q2,6,June
158,2025-06-07,2025,Q2,6,June
159,2025-06-08,2025,Q2,6,June
160,2025-06-09,2025,Q2,6,June
161,2025-06-10,2025,Q2,6,June
162,2025-06-11,2025,Q2,6,June
163,2025-06-12,2025,Q2,6,June
164,2025-06-13,2025,Q2,6,June
165,2025-06-14,2025,Q2,6,June
166,2025-06-15,2025,Q2,6,June
167,2025-06-16,2025,Q2,6,June
168,2025-06-17,2025,Q2,6,June
169,2025-06-18,2025,Q2,6,June
170,2025-06-19,2025,Q2,6,June
171,2025-06-20,2025,Q2,6,June
172,2025-06-21,2025,Q2,6,June
173,2025-06-22,2025,Q2,6,June
174,2025-06-23,2025,Q2,6,June
175,2025-06-24,2025,Q2,6,June
176,2025-06-25,2025,Q2,6,June
177,2025-06-26,2025,Q2,6,June
178,2025-06-27,2025,Q2,6,June
179,2025-06-28,2025,Q2,6,June
180,2025-06-29,2025,Q2,6,June
181,2025-06-30,2025,Q2,6,June
182,2025-07-01,2025,Q3,7,July
183,2025-07-02,2025,Q3,7,July
184,2025-07-03,2025,Q3,7,July
185,2025-07-04,2025,Q3,7,July
186,2025-07-05,2025,Q3,7,July
187,2025-07-06,2025,Q3,7,July
188,2025-07-07,2025,Q3,7,July
189,2025-07-08,2025,Q3,7,July
190,2025-07-09,2025,Q3,7,July
191,2025-07-10,2025,Q3,7,July
192,2025-07-11,2025,Q3,7,July
193,2025-07-12,2025,Q3,7,July
194,2025-07-13,2025,Q3,7,July
195,2025-07-14,2025,Q3,7,July
196,2025-07-15,2025,Q3,7,July
197,2025-07-16,2025,Q3,7,July
198,2025-07-17,2025,Q3,7,July
199,2025-07-18,2025,Q3,7,July
200,2025-07-19,2025,Q3,7,July
201,2025-07-20,2025,Q3,7,July
202,2025-07-21,2025,Q3,7,July
203,2025-07-22,2025,Q3,7,July
204,2025-07-23,2025,Q3,7,July
205,2025-07-24,2025,Q3,7,July
206,2025-07-25,2025,Q3,7,July
207,2025-07-26,2025,Q3,7,July
208,2025-07-27,2025,Q3,7,July
209,2025-07-28,2025,Q3,7,July
210,2025-07-29,2025,Q3,7,July
211,2025-07-30,2025,Q3,7,July
212,2025-07-31,2025,Q3,7,July
213,2025-08-01,2025,Q3,8,August
214,2025-08-02,2025,Q3,8,August
215,2025-08-03,2025,Q3,8,August
216,2025-08-04,2025,Q3,8,August
217,2025-08-05,2025,Q3,8,August
218,2025-08-06,2025,Q3,8,August
219,2025-08-07,2025,Q3,8,August
220,2025-08-08,2025,Q3,8,August
221,2025-08-09,2025,Q3,8,August
222,2025-08-10,2025,Q3,8,August
223,2025-08-11,2025,Q3,8,August
224,2025-08-12,2025,Q3,8,August
225,2025-08-13,2025,Q3,8,August
226,2025-08-14,2025,Q3,8,August
227,2025-08-15,2025,Q3,8,August
228,2025-08-16,2025,Q3,8,August
229,2025-08-17,2025,Q3,8,August
230,2025-08-18,2025,Q3,8,August
231,2025-08-19,2025,Q3,8,August
232,2025-08-20,2025,Q3,8,August
233,2025-08-21,2025,Q3,8,August
234,2025-08-22,2025,Q3,8,August
235,2025-08-23,2025,Q3,8,August
236,2025-08-24,2025,Q3,8,August
237,2025-08-25,2025,Q3,8,August
238,2025-08-26,2025,Q3,8,August
239,2025-08-27,2025,Q3,8,August
240,2025-08-28,2025,Q3,8,August
241,2025-08-29,2025,Q3,8,August
242,2025-08-30,2025,Q3,8,August
243,2025-08-31,2025,Q3,8,August
244,2025-09-01,2025,Q3,9,September
245,2025-09-02,2025,Q3,9,September
246,2025-09-03,2025,Q3,9,September
247,2025-09-04,2025,Q3,9,September
248,2025-09-05,2025,Q3,9,September
249,2025-09-06,2025,Q3,9,September
250,2025-09-07,2025,Q3,9,September
251,2025-09-08,2025,Q3,9,September
252,2025-09-09,2025,Q3,9,September
253,2025-09-10,2025,Q3,9,September
254,2025-09-11,2025,Q3,9,September
255,2025-09-12,2025,Q3,9,September
256,2025-09-13,2025,Q3,9,September
257,2025-09-14,2025,Q3,9,September
258,2025-09-15,2025,Q3,9,September
259,2025-09-16,2025,Q3,9,September
260,2025-09-17,2025,Q3,9,September
261,2025-09-18,2025,Q3,9,September
262,2025-09-19,2025,Q3,9,September
263,2025-09-20,2025,Q3,9,September
264,2025-09-21,2025,Q3,9,September
265,2025-09-22,2025,Q3,9,September
266,2025-09-23,2025,Q3,9,September
267,2025-09-24,2025,Q3,9,September
268,2025-09-25,2025,Q3,9,September
269,2025-09-26,2025,Q3,9,September
270,2025-09-27,2025,Q3,9,September
271,2025-09-28,2025,Q3,9,September
272,2025-09-29,2025,Q3,9,September
273,2025-09-30,2025,Q3,9,September
274,2025-10-01,2025,Q4,10,October
275,2025-10-02,2025,Q4,10,October
276,2025-10-03,2025,Q4,10,October
277,2025-10-04,2025,Q4,10,October
278,2025-10-05,2025,Q4,10,October
279,2025-10-06,2025,Q4,10,October
280,2025-10-07,2025,Q4,10,October
281,2025-10-08,2025,Q4,10,October
282,2025-10-09,2025,Q4,10,October
283,2025-10-10,2025,Q4,10,October
284,2025-10-11,2025,Q4,10,October
285,2025-10-12,2025,Q4,10,October
286,2025-10-13,2025,Q4,10,October
287,2025-10-14,2025,Q4,10,October
288,2025-10-15,2025,Q4,10,October
289,2025-10-16,2025,Q4,10,October
290,2025-10-17,2025,Q4,10,October
291,2025-10-18,2025,Q4,10,October
292,2025-10-19,2025,Q4,10,October
293,2025-10-20,2025,Q4,10,October
294,2025-10-21,2025,Q4,10,October
295,2025-10-22,2025,Q4,10,October
296,2025-10-23,2025,Q4,10,October
297,2025-10-24,2025,Q4,10,October
298,2025-10-25,2025,Q4,10,October
299,2025-10-26,2025,Q4,10,October
300,2025-10-27,2025,Q4,10,October
301,2025-10-28,2025,Q4,10,October
302,2025-10-29,2025,Q4,10,October
303,2025-10-30,2025,Q4,10,October
304,2025-10-31,2025,Q4,10,October
305,2025-11-01,2025,Q4,11,November
306,2025-11-02,2025,Q4,11,November
307,2025-11-03,2025,Q4,11,November
308,2025-11-04,2025,Q4,11,November
309,2025-11-05,2025,Q4,11,November
310,2025-11-06,2025,Q4,11,November
311,2025-11-07,2025,Q4,11,November
312,2025-11-08,2025,Q4,11,November
313,2025-11-09,2025,Q4,11,November
314,2025-11-10,2025,Q4,11,November
315,2025-11-11,2025,Q4,11,November
316,2025-11-12,2025,Q4,11,November
317,2025-11-13,2025,Q4,11,November
318,2025-11-14,2025,Q4,11,November
319,2025-11-15,2025,Q4,11,November
320,2025-11-16,2025,Q4,11,November
321,2025-11-17,2025,Q4,11,November
322,2025-11-18,2025,Q4,11,November
323,2025-11-19,2025,Q4,11,November
324,2025-11-20,2025,Q4,11,November
325,2025-11-21,2025,Q4,11,November
326,2025-11-22,2025,Q4,11,November
327,2025-11-23,2025,Q4,11,November
328,2025-11-24,2025,Q4,11,November
329,2025-11-25,2025,Q4,11,November
330,2025-11-26,2025,Q4,11,November
331,2025-11-27,2025,Q4,11,November
332,2025-11-28,2025,Q4,11,November
333,2025-11-29,2025,Q4,11,November
334,2025-11-30,2025,Q4,11,November
335,2025-12-01,2025,Q4,12,December
336,2025-12-02,2025,Q4,12,December
337,2025-12-03,2025,Q4,12,December
338,2025-12-04,2025,Q4,12,December
339,2025-12-05,2025,Q4,12,December
340,2025-12-06,2025,Q4,12,December
341,2025-12-07,2025,Q4,12,December
342,2025-12-08,2025,Q4,12,December
343,2025-12-09,2025,Q4,12,December
344,2025-12-10,2025,Q4,12,December
345,2025-12-11,2025,Q4,12,December
346,2025-12-12,2025,Q4,12,December
347,2025-12-13,2025,Q4,12,December
348,2025-12-14,2025,Q4,12,December
349,2025-12-15,2025,Q4,12,December
350,2025-12-16,2025,Q4,12,December
351,2025-12-17,2025,Q4,12,December
352,2025-12-18,2025,Q4,12,December
353,2025-12-19,2025,Q4,12,December
354,2025-12-20,2025,Q4,12,December
355,2025-12-21,2025,Q4,12,December
356,2025-12-22,2025,Q4,12,December
357,2025-12-23,2025,Q4,12,December
358,2025-12-24,2025,Q4,12,December
359,2025-12-25,2025,Q4,12,December
360,2025-12-26,2025,Q4,12,December
361,2025-12-27,2025,Q4,12,December
362,2025-12-28,2025,Q4,12,December
363,2025-12-29,2025,Q4,12,December
364,2025-12-30,2025,Q4,12,December
365,2025-12-31,2025,Q4,12,December
