sales_key,order_id,order_line_id,date_key,product_key,customer_key,quantity,unit_price,discount_amount,gross_sales,net_sales,unit_cost,total_cost,profit,profit_margin_pct,shipping_cost,delivery_days,promised_delivery_days,delivery_delay_days,stock_level_at_sale,promotion_name,sales_channel
17,ORD000017,1,20260501,6,3,3,2999.0,0.0,8997.0,8997.0,1100.0,3300.0,5697.0,63.32,80,3,3,0,25,No Promotion,Mobile App
18,ORD000018,1,20260508,7,4,1,2499.0,249.9,2499.0,2249.1,900.0,900.0,1349.1,59.98,180,3,3,0,25,Welcome Offer 10%,Marketplace
19,ORD000019,1,20260515,8,5,1,27999.0,0.0,27999.0,27999.0,15000.0,15000.0,12999.0,46.43,80,3,3,0,2,No Promotion,Marketplace
20,ORD000020,1,20260522,9,6,2,15999.0,0.0,31998.0,31998.0,8500.0,17000.0,14998.0,46.87,80,3,3,0,25,No Promotion,Online
21,ORD000021,1,20260529,10,7,1,9999.0,1499.85,9999.0,8499.15,4200.0,4200.0,4299.15,50.58,80,6,3,3,25,Festive Offer 15%,Mobile App
22,ORD000022,1,20260606,11,8,1,7999.0,1999.75,7999.0,5999.25,4800.0,4800.0,1199.25,19.99,80,3,3,0,8,Mega Sale 25%,Marketplace
23,ORD000023,1,20260613,12,9,1,3499.0,0.0,3499.0,3499.0,1600.0,1600.0,1899.0,54.27,80,3,3,0,25,No Promotion,Marketplace
24,ORD000024,1,20260620,1,10,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,80,3,3,0,25,Welcome Offer 10%,Online
25,ORD000025,1,20260627,1,11,2,4999.0,0.0,9998.0,9998.0,1800.0,3600.0,6398.0,63.99,80,3,3,0,25,No Promotion,Mobile App
26,ORD000026,1,20260704,1,12,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,8,3,5,25,No Promotion,Marketplace
27,ORD000027,1,20260711,1,13,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,180,3,3,0,25,Welcome Offer 10%,Marketplace
28,ORD000028,1,20260718,5,14,1,1999.0,299.85,1999.0,1699.15,700.0,700.0,999.15,58.8,80,6,3,3,25,Festive Offer 15%,Online
29,ORD000029,1,20260725,6,15,1,2999.0,0.0,2999.0,2999.0,1100.0,1100.0,1899.0,63.32,80,3,3,0,25,No Promotion,Mobile App
30,ORD000030,1,20260801,7,1,2,2499.0,249.9,4998.0,4748.1,900.0,1800.0,2948.1,62.09,80,3,3,0,25,Welcome Offer 10%,Marketplace
31,ORD000031,1,20260808,8,2,1,27999.0,0.0,27999.0,27999.0,15000.0,15000.0,12999.0,46.43,80,3,3,0,25,No Promotion,Marketplace
32,ORD000032,1,20260815,9,3,1,15999.0,0.0,15999.0,15999.0,8500.0,8500.0,7499.0,46.87,80,3,3,0,25,No Promotion,Online
33,ORD000033,1,20260823,10,4,1,9999.0,2499.75,9999.0,7499.25,4200.0,4200.0,3299.25,43.99,80,3,3,0,8,Mega Sale 25%,Mobile App
34,ORD000034,1,20260830,11,5,3,7999.0,0.0,23997.0,23997.0,4800.0,14400.0,9597.0,39.99,80,3,3,0,25,No Promotion,Marketplace
35,ORD000035,1,20260906,12,6,2,3499.0,524.85,6998.0,6473.15,1600.0,3200.0,3273.15,50.57,80,6,3,3,25,Festive Offer 15%,Marketplace
36,ORD000036,1,20260913,1,7,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,180,3,3,0,25,Welcome Offer 10%,Online
37,ORD000037,1,20260920,1,8,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Mobile App
38,ORD000038,1,20260927,1,9,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,2,No Promotion,Marketplace
39,ORD000039,1,20261004,1,10,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,80,8,3,5,25,Welcome Offer 10%,Marketplace
40,ORD000040,1,20261011,5,11,2,1999.0,0.0,3998.0,3998.0,700.0,1400.0,2598.0,64.98,80,3,3,0,25,No Promotion,Online
41,ORD000041,1,20261018,6,12,1,2999.0,0.0,2999.0,2999.0,1100.0,1100.0,1899.0,63.32,80,3,3,0,25,No Promotion,Mobile App
42,ORD000042,1,20261025,7,13,1,2499.0,374.85,2499.0,2124.15,900.0,900.0,1224.15,57.63,80,6,3,3,25,Festive Offer 15%,Marketplace
43,ORD000043,1,20261101,8,14,1,27999.0,0.0,27999.0,27999.0,15000.0,15000.0,12999.0,46.43,80,3,3,0,25,No Promotion,Marketplace
44,ORD000044,1,20261109,9,15,1,15999.0,3999.75,15999.0,11999.25,8500.0,8500.0,3499.25,29.16,80,3,3,0,8,Mega Sale 25%,Online
45,ORD000045,1,20261116,10,1,2,9999.0,999.9,19998.0,18998.1,4200.0,8400.0,10598.1,55.79,180,3,3,0,25,Welcome Offer 10%,Mobile App
46,ORD000046,1,20261123,11,2,1,7999.0,0.0,7999.0,7999.0,4800.0,4800.0,3199.0,39.99,80,3,3,0,25,No Promotion,Marketplace
47,ORD000047,1,20261130,12,3,1,3499.0,0.0,3499.0,3499.0,1600.0,1600.0,1899.0,54.27,80,3,3,0,25,No Promotion,Marketplace
48,ORD000048,1,20261207,1,4,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,80,3,3,0,25,Welcome Offer 10%,Online
49,ORD000049,1,20261214,1,5,1,4999.0,749.85,4999.0,4249.15,1800.0,1800.0,2449.15,57.64,80,6,3,3,25,Festive Offer 15%,Mobile App
50,ORD000050,1,20261221,1,6,2,4999.0,0.0,9998.0,9998.0,1800.0,3600.0,6398.0,63.99,80,3,3,0,25,No Promotion,Marketplace
51,ORD000051,1,20261228,1,7,3,4999.0,499.9,14997.0,14497.1,1800.0,5400.0,9097.1,62.75,80,3,3,0,25,Welcome Offer 10%,Marketplace
52,ORD000052,1,20260104,5,8,1,1999.0,0.0,1999.0,1999.0,700.0,700.0,1299.0,64.98,80,8,3,5,25,No Promotion,Online
53,ORD000053,1,20260111,6,9,1,2999.0,0.0,2999.0,2999.0,1100.0,1100.0,1899.0,63.32,80,3,3,0,25,No Promotion,Mobile App
54,ORD000054,1,20260118,7,10,1,2499.0,249.9,2499.0,2249.1,900.0,900.0,1349.1,59.98,180,3,3,0,25,Welcome Offer 10%,Marketplace
55,ORD000055,1,20260126,8,11,2,27999.0,6999.75,55998.0,48998.25,15000.0,30000.0,18998.25,38.77,80,3,3,0,8,Mega Sale 25%,Marketplace
56,ORD000056,1,20260202,9,12,1,15999.0,2399.85,15999.0,13599.15,8500.0,8500.0,5099.15,37.5,80,6,3,3,25,Festive Offer 15%,Online
57,ORD000057,1,20260209,10,13,1,9999.0,999.9,9999.0,8999.1,4200.0,4200.0,4799.1,53.33,80,3,3,0,2,Welcome Offer 10%,Mobile App
58,ORD000058,1,20260216,11,14,1,7999.0,0.0,7999.0,7999.0,4800.0,4800.0,3199.0,39.99,80,3,3,0,25,No Promotion,Marketplace
59,ORD000059,1,20260223,12,15,1,3499.0,0.0,3499.0,3499.0,1600.0,1600.0,1899.0,54.27,80,3,3,0,25,No Promotion,Marketplace
60,ORD000060,1,20260302,1,1,2,4999.0,499.9,9998.0,9498.1,1800.0,3600.0,5898.1,62.1,80,3,3,0,25,Welcome Offer 10%,Online
61,ORD000061,1,20260309,1,2,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Mobile App
62,ORD000062,1,20260316,1,3,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Marketplace
63,ORD000063,1,20260323,1,4,1,4999.0,749.85,4999.0,4249.15,1800.0,1800.0,2449.15,57.64,180,6,3,3,25,Festive Offer 15%,Marketplace
64,ORD000064,1,20260330,5,5,1,1999.0,0.0,1999.0,1999.0,700.0,700.0,1299.0,64.98,80,3,3,0,25,No Promotion,Online
65,ORD000065,1,20260406,6,6,2,2999.0,0.0,5998.0,5998.0,1100.0,2200.0,3798.0,63.32,80,8,3,5,25,No Promotion,Mobile App
66,ORD000066,1,20260414,7,7,1,2499.0,624.75,2499.0,1874.25,900.0,900.0,974.25,51.98,80,3,3,0,8,Mega Sale 25%,Marketplace
67,ORD000067,1,20260421,8,8,1,27999.0,0.0,27999.0,27999.0,15000.0,15000.0,12999.0,46.43,80,3,3,0,25,No Promotion,Marketplace
68,ORD000068,1,20260428,9,9,3,15999.0,0.0,47997.0,47997.0,8500.0,25500.0,22497.0,46.87,80,3,3,0,25,No Promotion,Online
69,ORD000069,1,20260505,10,10,1,9999.0,999.9,9999.0,8999.1,4200.0,4200.0,4799.1,53.33,80,3,3,0,25,Welcome Offer 10%,Mobile App
70,ORD000070,1,20260512,11,11,2,7999.0,1199.85,15998.0,14798.15,4800.0,9600.0,5198.15,35.13,80,6,3,3,25,Festive Offer 15%,Marketplace
71,ORD000071,1,20260519,12,12,1,3499.0,0.0,3499.0,3499.0,1600.0,1600.0,1899.0,54.27,80,3,3,0,25,No Promotion,Marketplace
72,ORD000072,1,20260526,1,13,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,180,3,3,0,25,Welcome Offer 10%,Online
73,ORD000073,1,20260602,1,14,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Mobile App
74,ORD000074,1,20260609,1,15,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Marketplace
75,ORD000075,1,20260616,1,1,2,4999.0,499.9,9998.0,9498.1,1800.0,3600.0,5898.1,62.1,80,3,3,0,25,Welcome Offer 10%,Marketplace
76,ORD000076,1,20260623,5,2,1,1999.0,0.0,1999.0,1999.0,700.0,700.0,1299.0,64.98,80,3,3,0,2,No Promotion,Online
77,ORD000077,1,20260701,6,3,1,2999.0,749.75,2999.0,2249.25,1100.0,1100.0,1149.25,51.09,80,6,3,3,8,Mega Sale 25%,Mobile App
78,ORD000078,1,20260708,7,4,1,2499.0,249.9,2499.0,2249.1,900.0,900.0,1349.1,59.98,80,8,3,5,25,Welcome Offer 10%,Marketplace
79,ORD000079,1,20260715,8,5,1,27999.0,0.0,27999.0,27999.0,15000.0,15000.0,12999.0,46.43,80,3,3,0,25,No Promotion,Marketplace
80,ORD000080,1,20260722,9,6,2,15999.0,0.0,31998.0,31998.0,8500.0,17000.0,14998.0,46.87,80,3,3,0,25,No Promotion,Online
81,ORD000081,1,20260729,10,7,1,9999.0,999.9,9999.0,8999.1,4200.0,4200.0,4799.1,53.33,180,3,3,0,25,Welcome Offer 10%,Mobile App
82,ORD000082,1,20260805,11,8,1,7999.0,0.0,7999.0,7999.0,4800.0,4800.0,3199.0,39.99,80,3,3,0,25,No Promotion,Marketplace
83,ORD000083,1,20260812,12,9,1,3499.0,0.0,3499.0,3499.0,1600.0,1600.0,1899.0,54.27,80,3,3,0,25,No Promotion,Marketplace
84,ORD000084,1,20260819,1,10,1,4999.0,749.85,4999.0,4249.15,1800.0,1800.0,2449.15,57.64,80,6,3,3,25,Festive Offer 15%,Online
85,ORD000085,1,20260826,1,11,3,4999.0,0.0,14997.0,14997.0,1800.0,5400.0,9597.0,63.99,80,3,3,0,25,No Promotion,Mobile App
86,ORD000086,1,20260902,1,12,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Marketplace
87,ORD000087,1,20260909,1,13,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,80,3,3,0,25,Welcome Offer 10%,Marketplace
88,ORD000088,1,20260917,5,14,1,1999.0,499.75,1999.0,1499.25,700.0,700.0,799.25,53.31,80,3,3,0,8,Mega Sale 25%,Online
89,ORD000089,1,20260924,6,15,1,2999.0,0.0,2999.0,2999.0,1100.0,1100.0,1899.0,63.32,80,3,3,0,25,No Promotion,Mobile App
90,ORD000090,1,20261001,7,1,2,2499.0,249.9,4998.0,4748.1,900.0,1800.0,2948.1,62.09,180,3,3,0,25,Welcome Offer 10%,Marketplace
91,ORD000091,1,20261008,8,2,1,27999.0,4199.85,27999.0,23799.15,15000.0,15000.0,8799.15,36.97,80,8,3,5,25,Festive Offer 15%,Marketplace
92,ORD000092,1,20261015,9,3,1,15999.0,0.0,15999.0,15999.0,8500.0,8500.0,7499.0,46.87,80,3,3,0,25,No Promotion,Online
93,ORD000093,1,20261022,10,4,1,9999.0,999.9,9999.0,8999.1,4200.0,4200.0,4799.1,53.33,80,3,3,0,25,Welcome Offer 10%,Mobile App
94,ORD000094,1,20261029,11,5,1,7999.0,0.0,7999.0,7999.0,4800.0,4800.0,3199.0,39.99,80,3,3,0,25,No Promotion,Marketplace
95,ORD000095,1,20261105,12,6,2,3499.0,0.0,6998.0,6998.0,1600.0,3200.0,3798.0,54.27,80,3,3,0,2,No Promotion,Marketplace
96,ORD000096,1,20261112,1,7,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,80,3,3,0,25,Welcome Offer 10%,Online
97,ORD000097,1,20261119,1,8,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Mobile App
98,ORD000098,1,20261126,1,9,1,4999.0,749.85,4999.0,4249.15,1800.0,1800.0,2449.15,57.64,80,6,3,3,25,Festive Offer 15%,Marketplace
99,ORD000099,1,20261204,1,10,1,4999.0,1249.75,4999.0,3749.25,1800.0,1800.0,1949.25,51.99,180,3,3,0,8,Mega Sale 25%,Marketplace
100,ORD000100,1,20261211,5,11,2,1999.0,0.0,3998.0,3998.0,700.0,1400.0,2598.0,64.98,80,3,3,0,25,No Promotion,Online
101,ORD000101,1,20261218,6,12,1,2999.0,0.0,2999.0,2999.0,1100.0,1100.0,1899.0,63.32,80,3,3,0,25,No Promotion,Mobile App
102,ORD000102,1,20261225,7,13,3,2499.0,249.9,7497.0,7247.1,900.0,2700.0,4547.1,62.74,80,3,3,0,25,Welcome Offer 10%,Marketplace
103,ORD000103,1,20260101,8,14,1,27999.0,0.0,27999.0,27999.0,15000.0,15000.0,12999.0,46.43,80,3,3,0,25,No Promotion,Marketplace
104,ORD000104,1,20260108,9,15,1,15999.0,0.0,15999.0,15999.0,8500.0,8500.0,7499.0,46.87,80,8,3,5,25,No Promotion,Online
105,ORD000105,1,20260115,10,1,2,9999.0,1499.85,19998.0,18498.15,4200.0,8400.0,10098.15,54.59,80,6,3,3,25,Festive Offer 15%,Mobile App
106,ORD000106,1,20260122,11,2,1,7999.0,0.0,7999.0,7999.0,4800.0,4800.0,3199.0,39.99,80,3,3,0,25,No Promotion,Marketplace
107,ORD000107,1,20260129,12,3,1,3499.0,0.0,3499.0,3499.0,1600.0,1600.0,1899.0,54.27,80,3,3,0,25,No Promotion,Marketplace
108,ORD000108,1,20260205,1,4,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,180,3,3,0,25,Welcome Offer 10%,Online
109,ORD000109,1,20260212,1,5,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Mobile App
110,ORD000110,1,20260220,1,6,2,4999.0,1249.75,9998.0,8748.25,1800.0,3600.0,5148.25,58.85,80,3,3,0,8,Mega Sale 25%,Marketplace
111,ORD000111,1,20260227,1,7,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,80,3,3,0,25,Welcome Offer 10%,Marketplace
112,ORD000112,1,20260306,5,8,1,1999.0,299.85,1999.0,1699.15,700.0,700.0,999.15,58.8,80,6,3,3,25,Festive Offer 15%,Online
113,ORD000113,1,20260313,6,9,1,2999.0,0.0,2999.0,2999.0,1100.0,1100.0,1899.0,63.32,80,3,3,0,25,No Promotion,Mobile App
114,ORD000114,1,20260320,7,10,1,2499.0,249.9,2499.0,2249.1,900.0,900.0,1349.1,59.98,80,3,3,0,2,Welcome Offer 10%,Marketplace
115,ORD000115,1,20260327,8,11,2,27999.0,0.0,55998.0,55998.0,15000.0,30000.0,25998.0,46.43,80,3,3,0,25,No Promotion,Marketplace
116,ORD000116,1,20260403,9,12,1,15999.0,0.0,15999.0,15999.0,8500.0,8500.0,7499.0,46.87,80,3,3,0,25,No Promotion,Online
117,ORD000117,1,20260410,10,13,1,9999.0,999.9,9999.0,8999.1,4200.0,4200.0,4799.1,53.33,180,8,3,5,25,Welcome Offer 10%,Mobile App
118,ORD000118,1,20260417,11,14,1,7999.0,0.0,7999.0,7999.0,4800.0,4800.0,3199.0,39.99,80,3,3,0,25,No Promotion,Marketplace
119,ORD000119,1,20260424,12,15,3,3499.0,524.85,10497.0,9972.15,1600.0,4800.0,5172.15,51.87,80,6,3,3,25,Festive Offer 15%,Marketplace
120,ORD000120,1,20260501,1,1,2,4999.0,499.9,9998.0,9498.1,1800.0,3600.0,5898.1,62.1,80,3,3,0,25,Welcome Offer 10%,Online
121,ORD000121,1,20260509,1,2,1,4999.0,1249.75,4999.0,3749.25,1800.0,1800.0,1949.25,51.99,80,3,3,0,8,Mega Sale 25%,Mobile App
122,ORD000122,1,20260516,1,3,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Marketplace
123,ORD000123,1,20260523,1,4,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,80,3,3,0,25,Welcome Offer 10%,Marketplace
124,ORD000124,1,20260530,5,5,1,1999.0,0.0,1999.0,1999.0,700.0,700.0,1299.0,64.98,80,3,3,0,25,No Promotion,Online
125,ORD000125,1,20260606,6,6,2,2999.0,0.0,5998.0,5998.0,1100.0,2200.0,3798.0,63.32,80,3,3,0,25,No Promotion,Mobile App
126,ORD000126,1,20260613,7,7,1,2499.0,374.85,2499.0,2124.15,900.0,900.0,1224.15,57.63,180,6,3,3,25,Festive Offer 15%,Marketplace
127,ORD000127,1,20260620,8,8,1,27999.0,0.0,27999.0,27999.0,15000.0,15000.0,12999.0,46.43,80,3,3,0,25,No Promotion,Marketplace
128,ORD000128,1,20260627,9,9,1,15999.0,0.0,15999.0,15999.0,8500.0,8500.0,7499.0,46.87,80,3,3,0,25,No Promotion,Online
129,ORD000129,1,20260704,10,10,1,9999.0,999.9,9999.0,8999.1,4200.0,4200.0,4799.1,53.33,80,3,3,0,25,Welcome Offer 10%,Mobile App
130,ORD000130,1,20260711,11,11,2,7999.0,0.0,15998.0,15998.0,4800.0,9600.0,6398.0,39.99,80,8,3,5,25,No Promotion,Marketplace
131,ORD000131,1,20260718,12,12,1,3499.0,0.0,3499.0,3499.0,1600.0,1600.0,1899.0,54.27,80,3,3,0,25,No Promotion,Marketplace
132,ORD000132,1,20260726,1,13,1,4999.0,1249.75,4999.0,3749.25,1800.0,1800.0,1949.25,51.99,80,3,3,0,8,Mega Sale 25%,Online
133,ORD000133,1,20260802,1,14,1,4999.0,749.85,4999.0,4249.15,1800.0,1800.0,2449.15,57.64,80,6,3,3,2,Festive Offer 15%,Mobile App
134,ORD000134,1,20260809,1,15,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Marketplace
135,ORD000135,1,20260816,1,1,2,4999.0,499.9,9998.0,9498.1,1800.0,3600.0,5898.1,62.1,180,3,3,0,25,Welcome Offer 10%,Marketplace
136,ORD000136,1,20260823,5,2,3,1999.0,0.0,5997.0,5997.0,700.0,2100.0,3897.0,64.98,80,3,3,0,25,No Promotion,Online
137,ORD000137,1,20260830,6,3,1,2999.0,0.0,2999.0,2999.0,1100.0,1100.0,1899.0,63.32,80,3,3,0,25,No Promotion,Mobile App
138,ORD000138,1,20260906,7,4,1,2499.0,249.9,2499.0,2249.1,900.0,900.0,1349.1,59.98,80,3,3,0,25,Welcome Offer 10%,Marketplace
139,ORD000139,1,20260913,8,5,1,27999.0,0.0,27999.0,27999.0,15000.0,15000.0,12999.0,46.43,80,3,3,0,25,No Promotion,Marketplace
140,ORD000140,1,20260920,9,6,2,15999.0,2399.85,31998.0,29598.15,8500.0,17000.0,12598.15,42.56,80,6,3,3,25,Festive Offer 15%,Online
141,ORD000141,1,20260927,10,7,1,9999.0,999.9,9999.0,8999.1,4200.0,4200.0,4799.1,53.33,80,3,3,0,25,Welcome Offer 10%,Mobile App
142,ORD000142,1,20261004,11,8,1,7999.0,0.0,7999.0,7999.0,4800.0,4800.0,3199.0,39.99,80,3,3,0,25,No Promotion,Marketplace
143,ORD000143,1,20261012,12,9,1,3499.0,874.75,3499.0,2624.25,1600.0,1600.0,1024.25,39.03,80,8,3,5,8,Mega Sale 25%,Marketplace
144,ORD000144,1,20261019,1,10,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,180,3,3,0,25,Welcome Offer 10%,Online
145,ORD000145,1,20261026,1,11,2,4999.0,0.0,9998.0,9998.0,1800.0,3600.0,6398.0,63.99,80,3,3,0,25,No Promotion,Mobile App
146,ORD000146,1,20261102,1,12,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Marketplace
147,ORD000147,1,20261109,1,13,1,4999.0,749.85,4999.0,4249.15,1800.0,1800.0,2449.15,57.64,80,6,3,3,25,Festive Offer 15%,Marketplace
148,ORD000148,1,20261116,5,14,1,1999.0,0.0,1999.0,1999.0,700.0,700.0,1299.0,64.98,80,3,3,0,25,No Promotion,Online
149,ORD000149,1,20261123,6,15,1,2999.0,0.0,2999.0,2999.0,1100.0,1100.0,1899.0,63.32,80,3,3,0,25,No Promotion,Mobile App
150,ORD000150,1,20261130,7,1,2,2499.0,249.9,4998.0,4748.1,900.0,1800.0,2948.1,62.09,80,3,3,0,25,Welcome Offer 10%,Marketplace
151,ORD000151,1,20261207,8,2,1,27999.0,0.0,27999.0,27999.0,15000.0,15000.0,12999.0,46.43,80,3,3,0,25,No Promotion,Marketplace
152,ORD000152,1,20261214,9,3,1,15999.0,0.0,15999.0,15999.0,8500.0,8500.0,7499.0,46.87,80,3,3,0,2,No Promotion,Online
153,ORD000153,1,20261221,10,4,3,9999.0,999.9,29997.0,28997.1,4200.0,12600.0,16397.1,56.55,180,3,3,0,25,Welcome Offer 10%,Mobile App
154,ORD000154,1,20261229,11,5,1,7999.0,1999.75,7999.0,5999.25,4800.0,4800.0,1199.25,19.99,80,6,3,3,8,Mega Sale 25%,Marketplace
155,ORD000155,1,20260105,12,6,2,3499.0,0.0,6998.0,6998.0,1600.0,3200.0,3798.0,54.27,80,3,3,0,25,No Promotion,Marketplace
156,ORD000156,1,20260112,1,7,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,80,8,3,5,25,Welcome Offer 10%,Online
157,ORD000157,1,20260119,1,8,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Mobile App
158,ORD000158,1,20260126,1,9,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Marketplace
159,ORD000159,1,20260202,1,10,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,80,3,3,0,25,Welcome Offer 10%,Marketplace
160,ORD000160,1,20260209,5,11,2,1999.0,0.0,3998.0,3998.0,700.0,1400.0,2598.0,64.98,80,3,3,0,25,No Promotion,Online
161,ORD000161,1,20260216,6,12,1,2999.0,449.85,2999.0,2549.15,1100.0,1100.0,1449.15,56.85,80,6,3,3,25,Festive Offer 15%,Mobile App
162,ORD000162,1,20260223,7,13,1,2499.0,249.9,2499.0,2249.1,900.0,900.0,1349.1,59.98,180,3,3,0,25,Welcome Offer 10%,Marketplace
163,ORD000163,1,20260302,8,14,1,27999.0,0.0,27999.0,27999.0,15000.0,15000.0,12999.0,46.43,80,3,3,0,25,No Promotion,Marketplace
164,ORD000164,1,20260309,9,15,1,15999.0,0.0,15999.0,15999.0,8500.0,8500.0,7499.0,46.87,80,3,3,0,25,No Promotion,Online
165,ORD000165,1,20260317,10,1,2,9999.0,2499.75,19998.0,17498.25,4200.0,8400.0,9098.25,52.0,80,3,3,0,8,Mega Sale 25%,Mobile App
166,ORD000166,1,20260324,11,2,1,7999.0,0.0,7999.0,7999.0,4800.0,4800.0,3199.0,39.99,80,3,3,0,25,No Promotion,Marketplace
167,ORD000167,1,20260331,12,3,1,3499.0,0.0,3499.0,3499.0,1600.0,1600.0,1899.0,54.27,80,3,3,0,25,No Promotion,Marketplace
168,ORD000168,1,20260407,1,4,1,4999.0,749.85,4999.0,4249.15,1800.0,1800.0,2449.15,57.64,80,6,3,3,25,Festive Offer 15%,Online
169,ORD000169,1,20260414,1,5,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,8,3,5,25,No Promotion,Mobile App
